docid,url,query_slug,status,raw_act_path,meta_path,text_chars
bPUuc9vT5d65,https://sudact.ru/regular/doc/bPUuc9vT5d65/,acceptance_defects,fetched,data/ddu/raw_acts/act_bPUuc9vT5d65.txt,data/ddu/raw_acts/act_bPUuc9vT5d65.meta.json,10294
tinoecNo5fZJ,https://sudact.ru/regular/doc/tinoecNo5fZJ/,acceptance_defects,fetched,data/ddu/raw_acts/act_tinoecNo5fZJ.txt,data/ddu/raw_acts/act_tinoecNo5fZJ.meta.json,11921
LcdKitICPp6x,https://sudact.ru/regular/doc/LcdKitICPp6x/,acceptance_defects,fetched,data/ddu/raw_acts/act_LcdKitICPp6x.txt,data/ddu/raw_acts/act_LcdKitICPp6x.meta.json,7889
nILJLSNW6RxX,https://sudact.ru/regular/doc/nILJLSNW6RxX/,acceptance_defects,fetched,data/ddu/raw_acts/act_nILJLSNW6RxX.txt,data/ddu/raw_acts/act_nILJLSNW6RxX.meta.json,10793
UwPPrIq6uDWx,https://sudact.ru/regular/doc/UwPPrIq6uDWx/,acceptance_defects,fetched,data/ddu/raw_acts/act_UwPPrIq6uDWx.txt,data/ddu/raw_acts/act_UwPPrIq6uDWx.meta.json,12739
vcxfeE9NN11A,https://sudact.ru/regular/doc/vcxfeE9NN11A/,acceptance_defects,fetched,data/ddu/raw_acts/act_vcxfeE9NN11A.txt,data/ddu/raw_acts/act_vcxfeE9NN11A.meta.json,16954
oMmLsT0xtHbP,https://sudact.ru/regular/doc/oMmLsT0xtHbP/,acceptance_defects,fetched,data/ddu/raw_acts/act_oMmLsT0xtHbP.txt,data/ddu/raw_acts/act_oMmLsT0xtHbP.meta.json,10866
dS0HZaw7iwxx,https://sudact.ru/regular/doc/dS0HZaw7iwxx/,article6_penalty,fetched,data/ddu/raw_acts/act_dS0HZaw7iwxx.txt,data/ddu/raw_acts/act_dS0HZaw7iwxx.meta.json,51695
v8fYlftGBN6E,https://sudact.ru/regular/doc/v8fYlftGBN6E/,article6_penalty,fetched,data/ddu/raw_acts/act_v8fYlftGBN6E.txt,data/ddu/raw_acts/act_v8fYlftGBN6E.meta.json,77263
Ypys7Yagp5mu,https://sudact.ru/regular/doc/Ypys7Yagp5mu/,article6_penalty,fetched,data/ddu/raw_acts/act_Ypys7Yagp5mu.txt,data/ddu/raw_acts/act_Ypys7Yagp5mu.meta.json,91433
fAGrVZDBpkWD,https://sudact.ru/regular/doc/fAGrVZDBpkWD/,article6_penalty,fetched,data/ddu/raw_acts/act_fAGrVZDBpkWD.txt,data/ddu/raw_acts/act_fAGrVZDBpkWD.meta.json,80542
jZyFxy7HJtmp,https://sudact.ru/regular/doc/jZyFxy7HJtmp/,article6_penalty,fetched,data/ddu/raw_acts/act_jZyFxy7HJtmp.txt,data/ddu/raw_acts/act_jZyFxy7HJtmp.meta.json,86165
zoAf2okKzt18,https://sudact.ru/regular/doc/zoAf2okKzt18/,article6_penalty,fetched,data/ddu/raw_acts/act_zoAf2okKzt18.txt,data/ddu/raw_acts/act_zoAf2okKzt18.meta.json,49757
vQ7sBA90ldbr,https://sudact.ru/regular/doc/vQ7sBA90ldbr/,article6_penalty,fetched,data/ddu/raw_acts/act_vQ7sBA90ldbr.txt,data/ddu/raw_acts/act_vQ7sBA90ldbr.meta.json,36697
fdKv7hoPIiNW,https://sudact.ru/regular/doc/fdKv7hoPIiNW/,article6_penalty,fetched,data/ddu/raw_acts/act_fdKv7hoPIiNW.txt,data/ddu/raw_acts/act_fdKv7hoPIiNW.meta.json,44320
FHOalgNBmplV,https://sudact.ru/regular/doc/FHOalgNBmplV/,article6_penalty,fetched,data/ddu/raw_acts/act_FHOalgNBmplV.txt,data/ddu/raw_acts/act_FHOalgNBmplV.meta.json,80522
b1z2z3JE6kVl,https://sudact.ru/regular/doc/b1z2z3JE6kVl/,article6_penalty,fetched,data/ddu/raw_acts/act_b1z2z3JE6kVl.txt,data/ddu/raw_acts/act_b1z2z3JE6kVl.meta.json,67727
1atAB9kqrebQ,https://sudact.ru/regular/doc/1atAB9kqrebQ/,article6_penalty,fetched,data/ddu/raw_acts/act_1atAB9kqrebQ.txt,data/ddu/raw_acts/act_1atAB9kqrebQ.meta.json,38091
EWS5Yv62dLUB,https://sudact.ru/regular/doc/EWS5Yv62dLUB/,article6_penalty,fetched,data/ddu/raw_acts/act_EWS5Yv62dLUB.txt,data/ddu/raw_acts/act_EWS5Yv62dLUB.meta.json,44049
bcLaiPTgOjJu,https://sudact.ru/regular/doc/bcLaiPTgOjJu/,article6_penalty,fetched,data/ddu/raw_acts/act_bcLaiPTgOjJu.txt,data/ddu/raw_acts/act_bcLaiPTgOjJu.meta.json,44508
rkAgSYTNrLLC,https://sudact.ru/regular/doc/rkAgSYTNrLLC/,article7_defects,fetched,data/ddu/raw_acts/act_rkAgSYTNrLLC.txt,data/ddu/raw_acts/act_rkAgSYTNrLLC.meta.json,55543
RpwmOvDCDzVw,https://sudact.ru/regular/doc/RpwmOvDCDzVw/,article7_defects,fetched,data/ddu/raw_acts/act_RpwmOvDCDzVw.txt,data/ddu/raw_acts/act_RpwmOvDCDzVw.meta.json,114627
vx8xdmtSBDZT,https://sudact.ru/regular/doc/vx8xdmtSBDZT/,article7_defects,fetched,data/ddu/raw_acts/act_vx8xdmtSBDZT.txt,data/ddu/raw_acts/act_vx8xdmtSBDZT.meta.json,149996
4ZA7CTP6Z76l,https://sudact.ru/regular/doc/4ZA7CTP6Z76l/,article8_acceptance,fetched,data/ddu/raw_acts/act_4ZA7CTP6Z76l.txt,data/ddu/raw_acts/act_4ZA7CTP6Z76l.meta.json,77716
YCyTtWqInOmK,https://sudact.ru/regular/doc/YCyTtWqInOmK/,article8_acceptance,fetched,data/ddu/raw_acts/act_YCyTtWqInOmK.txt,data/ddu/raw_acts/act_YCyTtWqInOmK.meta.json,106969
KxmNz092Sfbw,https://sudact.ru/regular/doc/KxmNz092Sfbw/,article8_acceptance,fetched,data/ddu/raw_acts/act_KxmNz092Sfbw.txt,data/ddu/raw_acts/act_KxmNz092Sfbw.meta.json,106913
5QGQisx4HlZm,https://sudact.ru/regular/doc/5QGQisx4HlZm/,article8_acceptance,fetched,data/ddu/raw_acts/act_5QGQisx4HlZm.txt,data/ddu/raw_acts/act_5QGQisx4HlZm.meta.json,20139
ZtbkzNXofEly,https://sudact.ru/regular/doc/ZtbkzNXofEly/,article8_acceptance,fetched,data/ddu/raw_acts/act_ZtbkzNXofEly.txt,data/ddu/raw_acts/act_ZtbkzNXofEly.meta.json,46402
O4XGU9A5Oa61,https://sudact.ru/regular/doc/O4XGU9A5Oa61/,article8_acceptance,fetched,data/ddu/raw_acts/act_O4XGU9A5Oa61.txt,data/ddu/raw_acts/act_O4XGU9A5Oa61.meta.json,60745
o1v5BtM046oQ,https://sudact.ru/regular/doc/o1v5BtM046oQ/,article8_acceptance,fetched,data/ddu/raw_acts/act_o1v5BtM046oQ.txt,data/ddu/raw_acts/act_o1v5BtM046oQ.meta.json,64207
mJ8TjG4OypYx,https://sudact.ru/regular/doc/mJ8TjG4OypYx/,article8_acceptance,fetched,data/ddu/raw_acts/act_mJ8TjG4OypYx.txt,data/ddu/raw_acts/act_mJ8TjG4OypYx.meta.json,52332
XgpeaG5M48Zl,https://sudact.ru/regular/doc/XgpeaG5M48Zl/,article8_acceptance,fetched,data/ddu/raw_acts/act_XgpeaG5M48Zl.txt,data/ddu/raw_acts/act_XgpeaG5M48Zl.meta.json,53889
NEhOHKaxcxZ6,https://sudact.ru/regular/doc/NEhOHKaxcxZ6/,article8_acceptance,fetched,data/ddu/raw_acts/act_NEhOHKaxcxZ6.txt,data/ddu/raw_acts/act_NEhOHKaxcxZ6.meta.json,67427
ZKB1oIPWhlmv,https://sudact.ru/regular/doc/ZKB1oIPWhlmv/,article8_acceptance,fetched,data/ddu/raw_acts/act_ZKB1oIPWhlmv.txt,data/ddu/raw_acts/act_ZKB1oIPWhlmv.meta.json,24480
yr7KTr1mSDmV,https://sudact.ru/regular/doc/yr7KTr1mSDmV/,article8_acceptance,fetched,data/ddu/raw_acts/act_yr7KTr1mSDmV.txt,data/ddu/raw_acts/act_yr7KTr1mSDmV.meta.json,32447
czgQ9u1UWPHD,https://sudact.ru/regular/doc/czgQ9u1UWPHD/,article9_termination,fetched,data/ddu/raw_acts/act_czgQ9u1UWPHD.txt,data/ddu/raw_acts/act_czgQ9u1UWPHD.meta.json,55406
