docid,url,domain,title,passage,query_slug
bPUuc9vT5d65,https://sudact.ru/regular/doc/bPUuc9vT5d65/,sudact.ru,Решение № 2-518/2023 2-518/2023~М-469/2023 М-469/2023 от 9 октября 2023 г. по делу № 2-518/2023 :: СудАкт.ру,,acceptance_defects
tinoecNo5fZJ,https://sudact.ru/regular/doc/tinoecNo5fZJ/,sudact.ru,Решение № 2-176/2023 2-176/2023~М-158/2023 М-158/2023 от 1 ноября 2023 г. по делу № 2-176/2023 :: СудАкт.ру,,acceptance_defects
LcdKitICPp6x,https://sudact.ru/regular/doc/LcdKitICPp6x/,sudact.ru,Решение № 2-1151/2021 2-1151/2021~М-930/2021 М-930/2021 от 1 июня 2021 г. по делу № 2-1151/2021 :: СудАкт.ру,,acceptance_defects
nILJLSNW6RxX,https://sudact.ru/regular/doc/nILJLSNW6RxX/,sudact.ru,Решение № 2-1006/2021 2-1006/2021~М-872/2021 М-872/2021 от 7 июля 2021 г. по делу № 2-1006/2021 :: СудАкт.ру,,acceptance_defects
UwPPrIq6uDWx,https://sudact.ru/regular/doc/UwPPrIq6uDWx/,sudact.ru,Решение № 2-6892/2019 2-814/2020 2-814/2020(2-6892/2019;)~М-6487/2019 М-6487/2019 от 10 февраля 2020 г. по делу № 2-6892/2019 :: СудАкт.ру,,acceptance_defects
vcxfeE9NN11A,https://sudact.ru/regular/doc/vcxfeE9NN11A/,sudact.ru,Решение № 2-2142/2020 2-2142/2020~М-1275/2020 М-1275/2020 от 6 июля 2020 г. по делу № 2-2142/2020 :: СудАкт.ру,,acceptance_defects
oMmLsT0xtHbP,https://sudact.ru/regular/doc/oMmLsT0xtHbP/,sudact.ru,Решение № 2-339/2021 2-339/2021~М-308/2021 М-308/2021 от 14 июня 2021 г. по делу № 2-339/2021 :: СудАкт.ру,,acceptance_defects
dS0HZaw7iwxx,https://sudact.ru/regular/doc/dS0HZaw7iwxx/,sudact.ru,Решение № 2-1445/2023 2-1445/2023~М-371/2023... :: СудАкт.ру,"Согласно ч. 1, ч. 2 ст. 7 Федерального закона № 214-ФЗ застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям технических регламентов, проектной документации и градостроительных регламентов, а также иным обязательным требованиям.",article6_penalty
v8fYlftGBN6E,https://sudact.ru/regular/doc/v8fYlftGBN6E/,sudact.ru,Решение № 2-7041/2024 2-7041/2024~М-6266/2024... :: СудАкт.ру,"В соответствии с ч.2 ст.6 Федерального закона №214-ФЗ в случае нарушения предусмотренного договором срока передачи участнику долевого строительства объекта долевого строительства застройщик уплачивает участнику долевого строительства неустойку (пени) в размере одной трехсотой ставки рефинансирования Центрального банка Российской Федерации, действующей на день исполнения обязательства, от цены договора за каждый день просрочки.",article6_penalty
Ypys7Yagp5mu,https://sudact.ru/regular/doc/Ypys7Yagp5mu/,sudact.ru,Решение № 2-2295/2025 2-2295/2025(2-7447/2024...) :: СудАкт.ру,"Квартира была принята у застройщика по акту приема-передачи 20.12.2023 года, в настоящее время истец проживает в указанной квартире. Согласно п. 5.3 договора участия в долевом строительстве гарантийный срок объекта долевого строительства составляет 5 лет, что соответствует п. 5 ст. 7 Федерального закона от 30.12.2004 года № 214.",article6_penalty
fAGrVZDBpkWD,https://sudact.ru/regular/doc/fAGrVZDBpkWD/,sudact.ru,Решение № 2-498/2020 2-498/2020~М-280/2020... :: СудАкт.ру,Исходя из требований ч. 3 ст. 6 Федерального закона N 214-ФЗ и п. 1 ст. 452 ГК РФ изменение предусмотренного договором срока должно быть оформлено двусторонним письменным соглашением и зарегистрировано в Едином государственном реестре прав на недвижимое имущество и сделок с ним.,article6_penalty
jZyFxy7HJtmp,https://sudact.ru/regular/doc/jZyFxy7HJtmp/,sudact.ru,Решение № 2-5921/2025 2-5921/2025~М-3487/2025... :: СудАкт.ру,"Застройщик, имеющий определенные гарантийные обязательства, несет перед собственниками жилых помещений ответственность за ненадлежащее качество строительства жилого дома и установленного им оборудования в порядке Закона №214-ФЗ. Действующее гражданское законодательство прямо не регулирует вопросы, связанные с переходом гарантии застройщика на результат работ в случае отчуждения объекта недвижимости по договору...",article6_penalty
