docid,url,domain,title,passage
dS0HZaw7iwxx,https://sudact.ru/regular/doc/dS0HZaw7iwxx/,sudact.ru,Решение № 2-1445/2023 2-1445/2023~М-371/2023... :: СудАкт.ру,"Согласно ч. 1, ч. 2 ст. 7 Федерального закона № 214-ФЗ застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям технических регламентов, проектной документации и градостроительных регламентов, а также иным обязательным требованиям."
v8fYlftGBN6E,https://sudact.ru/regular/doc/v8fYlftGBN6E/,sudact.ru,Решение № 2-7041/2024 2-7041/2024~М-6266/2024... :: СудАкт.ру,"В соответствии с ч.2 ст.6 Федерального закона №214-ФЗ в случае нарушения предусмотренного договором срока передачи участнику долевого строительства объекта долевого строительства застройщик уплачивает участнику долевого строительства неустойку (пени) в размере одной трехсотой ставки рефинансирования Центрального банка Российской Федерации, действующей на день исполнения обязательства, от цены договора за каждый день просрочки."
Ypys7Yagp5mu,https://sudact.ru/regular/doc/Ypys7Yagp5mu/,sudact.ru,Решение № 2-2295/2025 2-2295/2025(2-7447/2024...) :: СудАкт.ру,"Квартира была принята у застройщика по акту приема-передачи 20.12.2023 года, в настоящее время истец проживает в указанной квартире. Согласно п. 5.3 договора участия в долевом строительстве гарантийный срок объекта долевого строительства составляет 5 лет, что соответствует п. 5 ст. 7 Федерального закона от 30.12.2004 года № 214."
fAGrVZDBpkWD,https://sudact.ru/regular/doc/fAGrVZDBpkWD/,sudact.ru,Решение № 2-498/2020 2-498/2020~М-280/2020... :: СудАкт.ру,Исходя из требований ч. 3 ст. 6 Федерального закона N 214-ФЗ и п. 1 ст. 452 ГК РФ изменение предусмотренного договором срока должно быть оформлено двусторонним письменным соглашением и зарегистрировано в Едином государственном реестре прав на недвижимое имущество и сделок с ним.
6R74GHDTJa1o,https://sudact.ru/regular/doc/6R74GHDTJa1o/,sudact.ru,Апелляционное определение № 33-61487/2025 от 17... :: СудАкт.ру,"Поскольку требования истцов удовлетворялись судом после 01 января 2025 года, то суд должен был руководствоваться действующей редакцией нормы закона. Из буквального толкования ч. 4 ст. 10 Федерального закона от 30.12.2004 г. № 214-ФЗ следует, что общая сумма, подлежащая взысканию с застройщика, не может превышать 3% от цены договора при удовлетворении требований участника долевого строительства в судебном порядке."
jZyFxy7HJtmp,https://sudact.ru/regular/doc/jZyFxy7HJtmp/,sudact.ru,Решение № 2-5921/2025 2-5921/2025~М-3487/2025... :: СудАкт.ру,"Застройщик, имеющий определенные гарантийные обязательства, несет перед собственниками жилых помещений ответственность за ненадлежащее качество строительства жилого дома и установленного им оборудования в порядке Закона №214-ФЗ. Действующее гражданское законодательство прямо не регулирует вопросы, связанные с переходом гарантии застройщика на результат работ в случае отчуждения объекта недвижимости по договору..."
zoAf2okKzt18,https://sudact.ru/regular/doc/zoAf2okKzt18/,sudact.ru,Решение № 2-5237/2025 2-5237/2025~М-4576/2025... :: СудАкт.ру,"Разрешая настоящий спор, установив юридически значимые для дела обстоятельства, оценив доказательства суд находит исковые требования в части взыскания денежных средств уплаченных по договору об оказании юридических услуг № от ДД.ММ.ГГГГ, обоснованными, в связи с чем, удовлетворяет их в полном объеме и взыскивает с ИП ФИО3 в пользу истца убытки в размере 214 200 рублей."
vQ7sBA90ldbr,https://sudact.ru/regular/doc/vQ7sBA90ldbr/,sudact.ru,Решение № 2-1090/2025 2-1090/2025~М-568/2025... :: СудАкт.ру,"Частью 5 статьи 7 Федерального закона от 30.12.2004 № 214-ФЗ «Об участии в долевом строительстве многоквартирных домов …» предусмотрено, что гарантийный срок для объекта долевого строительства, за исключением технологического и инженерного оборудования, входящего в состав такого объекта долевого строительства, устанавливается договором и не может составлять менее чем пять лет."
fdKv7hoPIiNW,https://sudact.ru/regular/doc/fdKv7hoPIiNW/,sudact.ru,Решение № 2-1567/2020 2-1567/2020(2-6638/2019...) :: СудАкт.ру,"Согласно ч. 2 ст. 6 ФЗ № 214-ФЗ в случае нарушения предусмотренного договором срока передачи участнику долевого строительства объекта долевого строительства застройщик уплачивает участнику долевого строительства неустойку (пени) в размере одной трехсотой ставки рефинансирования Центрального банка Российской Федерации, действующей на день исполнения обязательства, от цены договора за каждый день просрочки."
FHOalgNBmplV,https://sudact.ru/regular/doc/FHOalgNBmplV/,sudact.ru,Решение № 2-11289/2025 2-11289/2025~М-5391/2025... :: СудАкт.ру,"В соответствии со ст. 7 Федерального закона от 30.12.2004 года № 214-ФЗ застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям технических регламентов, проектной документации и градостроительных регламентов, а также иным обязательным требованиям (ч.1)."
