docid,url,domain,title,passage
Ypys7Yagp5mu,https://sudact.ru/regular/doc/Ypys7Yagp5mu/,sudact.ru,Решение № 2-2295/2025 2-2295/2025(2-7447/2024...) :: СудАкт.ру,"В соответствии с ч. 1 ст. 7 Федерального закона № 214-ФЗ застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям технических регламентов, проектной документации и градостроительных регламентов, а также иным обязательным требованиям."
dS0HZaw7iwxx,https://sudact.ru/regular/doc/dS0HZaw7iwxx/,sudact.ru,Решение № 2-1445/2023 2-1445/2023~М-371/2023... :: СудАкт.ру,"С учетом вышеназванных доказательств, суд приходит к выводу, что в нарушение ч. 1,2,5 ст. 7 Федерального закона № 214-ФЗ, ответчик передал истцу объект долевого строительства, качество которого не соответствует условиям договора, требованиям технических регламентов, проектной документации и градостроительных регламентов, следовательно, у последнего возникло право требования возмещения расходов на устранение недостатков."
tLZWWLEyamlx,https://sudact.ru/regular/doc/tLZWWLEyamlx/,sudact.ru,Апелляционное постановление № 22К-10510/2025 от... :: СудАкт.ру,Судебные и нормативные акты РФ. Апелляционное постановление № 22К-10510/2025 от 27 октября 2025 г. по делу № 3/7-214/2025 Вынесен: Московский областной суд (Московская область). Судья: Пашнюк М.А.. | Апелляционное постановление № 22К-10510/2025 от 27 октября 2025 г. по делу № 3/7-214/2025. Московский областной суд (Московская область) - Уголовное.
FHOalgNBmplV,https://sudact.ru/regular/doc/FHOalgNBmplV/,sudact.ru,Решение № 2-11289/2025 2-11289/2025~М-5391/2025... :: СудАкт.ру,"В соответствии со ст. 7 Федерального закона от 30.12.2004 года № 214-ФЗ застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям технических регламентов, проектной документации и градостроительных регламентов, а также иным обязательным требованиям (ч.1)."
sX5RLB6JEp1P,https://sudact.ru/regular/doc/sX5RLB6JEp1P/,sudact.ru,Решение № 7-214/2025 от 23 марта 2025 г. по делу... :: СудАкт.ру,Судебные и нормативные акты РФ. Решение № 7-214/2025 от 23 марта 2025 г. по делу № 7-214/2025 Вынесен: Амурский областной суд (Амурская область). Судья: Михайленко В.Г.. | Дело №7-214/2025. РЕШЕНИЕ. 24 марта 2025 года город Благовещенск.
1p1AAlCp7iox,https://sudact.ru/regular/doc/1p1AAlCp7iox/,sudact.ru,Постановление № 5-214/2024 от 28 марта 2024 г. по... :: СудАкт.ру,Судебные и нормативные акты РФ. Постановление № 5-214/2024 от 28 марта 2024 г. по делу № 5-214/2024 Вынесен: Георгиевский городской суд (Ставропольский край). Судья: Шевченко В.П.. | по делу № 5-214/2024 Постановление от 2 февраля 2024 г. по делу № 5-214/2024 Постановление от 1 февраля 2024 г. по делу № 5-214/2024. Показать все документы по этому делу. Печать документа.
BnGTwiyUtol5,https://sudact.ru/regular/doc/BnGTwiyUtol5/,sudact.ru,Решение № 7-214/2025 от 20 марта 2025 г. по делу... :: СудАкт.ру,Судебные и нормативные акты РФ. Решение № 7-214/2025 от 20 марта 2025 г. по делу № 7-214/2025 Вынесен: Тверской областной суд (Тверская область). Судья: Колпиков В.В.. | Дело № 7-214/2025 судья Бурше Р.С. РЕШЕНИЕ.
w74M2BxgaVmb,https://sudact.ru/regular/doc/w74M2BxgaVmb/,sudact.ru,Апелляционное постановление № 22К-8689/2024 от 10... :: СудАкт.ру,Судебные и нормативные акты РФ. Апелляционное постановление № 22К-8689/2024 от 10 октября 2024 г. по делу № 3/7-214/2024 Вынесен: Московский областной суд (Московская область). Судья: Антонов А.В.. | Апелляционное постановление № 22К-8689/2024 от 10 октября 2024 г. по делу № 3/7-214/2024. Московский областной суд (Московская область) - Уголовное.
rkAgSYTNrLLC,https://sudact.ru/regular/doc/rkAgSYTNrLLC/,sudact.ru,Решение № 2-2357/2025 2-2357/2025~М-982/2025... :: СудАкт.ру,"N 214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты РФ». Застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям проектной документации и градостроительных регламентов, а также иным обязательным требованиям."
l7F8XyVIbGHh,https://sudact.ru/regular/doc/l7F8XyVIbGHh/,sudact.ru,Решение № 12-839/2025 7-214/2025 от 25 марта 2025... :: СудАкт.ру,Судебные и нормативные акты РФ. Решение № 12-839/2025 7-214/2025 от 25 марта 2025 г. по делу № 12-839/2025 Вынесен: Верховный Суд Республики Татарстан (Республика Татарстан ). Судья: Верхокамкин Е.В.. | Дело № 7-214/2025.
k2ay8lVS1irp,https://sudact.ru/regular/doc/k2ay8lVS1irp/,sudact.ru,Решение № 7-214/2017 от 12 июля 2017 г. по делу... :: СудАкт.ру,Судебные и нормативные акты РФ. Решение № 7-214/2017 от 12 июля 2017 г. по делу № 7-214/2017 Вынесен: Томский областной суд (Томская область). Судья: Гончаров А.И.. | Решение № 7-214/2017 от 12 июля 2017 г. по делу № 7-214/2017. Томский областной суд (Томская область) - Административное.
wVqk02psj0LG,https://sudact.ru/regular/doc/wVqk02psj0LG/,sudact.ru,Решение № 7-214/2020 от 27 мая 2020 г. по делу... :: СудАкт.ру,Судебные и нормативные акты РФ. Решение № 7-214/2020 от 27 мая 2020 г. по делу № 7-214/2020 Вынесен: Амурский областной суд (Амурская область). Судья: Михайленко В.Г.. | областного суда В.Г. Михайленко. 28RS0024-01-2019-000154-41. Дело № 7-214/2020. Суд
KfaGYsNeeHdJ,https://sudact.ru/regular/doc/KfaGYsNeeHdJ/,sudact.ru,Решение № 12-1/2019 21-214/2020 7-214/2020 от 15... :: СудАкт.ру,№ 7-214\2020. РЕШЕНИЕ.
blC9aIVdzNJp,https://sudact.ru/regular/doc/blC9aIVdzNJp/,sudact.ru,Решение № 7-214/2019 от 3 апреля 2019 г. по делу... :: СудАкт.ру,Судебные и нормативные акты РФ. Решение № 7-214/2019 от 3 апреля 2019 г. по делу № 7-214/2019 Вынесен: Ставропольский краевой суд (Ставропольский край). Судья: Бостанов Ш.А.. | судья Макарская А.В. дело № 7-214/2019.
RpwmOvDCDzVw,https://sudact.ru/regular/doc/RpwmOvDCDzVw/,sudact.ru,Решение № 2-214/2025 2-214/2025(2-2560/2024...) :: СудАкт.ру,Решение № 2-214/2025 2-214/2025(2-2560/2024;)~М-1987/2024 2-2560/2024 М-1987/2024 от 17 марта 2025 г. по делу № 2-214/2025. Заводской районный суд г. Новокузнецка (Кемеровская область) - Гражданское. Дело № 2-214/2025 (Дело № 2-2560/2024).
vx8xdmtSBDZT,https://sudact.ru/regular/doc/vx8xdmtSBDZT/,sudact.ru,Решение № 2-723/2021 2-723/2021~М-250/2021... :: СудАкт.ру,"Особенности исчисления и (или) уплаты налога по отдельным видам доходов устанавливаются ст. 214.3, 214.4, 214.5, 214.6, 214.7, 226.1, 227 и 228 НК РФ. Согласно п. 4 ст. 226 НК РФ налоговые агенты обязаны удержать начисленную сумму налога непосредственно из доходов налогоплательщика при их фактической выплате с учетом особенностей, установленных настоящим пунктом."
69s3JVD9V2xR,https://sudact.ru/regular/doc/69s3JVD9V2xR/,sudact.ru,Апелляционное определение № 33-61475/2025 от 21... :: СудАкт.ру,"Федеральным законом от 26.12.2024 г. № 482-ФЗ внесены изменения в Федеральный закон от 30.12.2004 года № 214-ФЗ, статья 10 данного закона дополнена частью 4, согласно которой при удовлетворении судом требований участника долевого строительства в связи с нарушением застройщиком требований к результату производства отделочных работ, работ по установке оконных и дверных блоков, сантехнического оборудования и входящих в состав."
