docid,url,domain,title,passage
Ypys7Yagp5mu,https://sudact.ru/regular/doc/Ypys7Yagp5mu/,sudact.ru,Решение № 2-2295/2025 2-2295/2025(2-7447/2024...) :: СудАкт.ру,"В частности, установленная п. 3 ч. 2 ст. 7 Федерального закона № 214-ФЗ норма предоставляет участнику долевого строительства право требовать возмещения своих расходов на устранение недостатков. Согласно материалам дела истец обратился с претензией к ответчику оплатить денежные средства для самостоятельного устранения выявленных недостатков."
FHOalgNBmplV,https://sudact.ru/regular/doc/FHOalgNBmplV/,sudact.ru,Решение № 2-11289/2025 2-11289/2025~М-5391/2025... :: СудАкт.ру,"В соответствии со ст. 7 Федерального закона от 30.12.2004 года № 214-ФЗ застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям технических регламентов, проектной документации и градостроительных регламентов, а также иным обязательным требованиям (ч.1)."
4ZA7CTP6Z76l,https://sudact.ru/regular/doc/4ZA7CTP6Z76l/,sudact.ru,Решение № 2-2470/2020 2-2470/2020~М-2273/2020... :: СудАкт.ру,"В нарушение части 5 статьи 8 Федерального закона № 214-ФЗ, акт о несоответствии объекта долевого строительства требованиям, указанным в части 1 статьи 7 Федерального закона № 214-ФЗ застройщиком не составлялся. Об устранении (либо отказе в устранении) недостатков квартиры застройщиком истцу не сообщалось."
YCyTtWqInOmK,https://sudact.ru/regular/doc/YCyTtWqInOmK/,sudact.ru,Решение № 2-4174/2023 2-4174/2023~М-2006/2023... :: СудАкт.ру,"В частности, установленная п. 3 ч. 2 ст. 7 Федерального закона № 214-ФЗ норма предоставляет участнику долевого строительства право требовать возмещения своих расходов на устранение недостатков. Согласно материалам дела истец обратился с претензией к ответчику оплатить денежные средства для самостоятельного устранения выявленных недостатков."
EWS5Yv62dLUB,https://sudact.ru/regular/doc/EWS5Yv62dLUB/,sudact.ru,Решение № 2-1380/2020 2-1380/2020~М-168/2020... :: СудАкт.ру,Согласно ст. 8 Федерального закона от ДД.ММ.ГГ N 214-ФЗ Передача объекта долевого строительства застройщиком и принятие его участником долевого строительства осуществляются по подписываемым сторонами передаточному акту или иному документу о передаче объекта долевого строительства.
KxmNz092Sfbw,https://sudact.ru/regular/doc/KxmNz092Sfbw/,sudact.ru,Решение № 2-37/2024 2-37/2024(2-3785/2023...) :: СудАкт.ру,"В соответствии со ст.9 указанного № 214-ФЗ участник долевого строительства в одностороннем порядке вправе отказаться от исполнения договора в случае: неисполнения застройщиком обязательства по передаче объекта долевого строительства в срок, превышающий установленный договором срок передачи такого объекта на два месяца; неисполнения застройщиком обязанностей..."
bcLaiPTgOjJu,https://sudact.ru/regular/doc/bcLaiPTgOjJu/,sudact.ru,Решение № 2-1424/2019 2-1424/2019~М-796/2019... :: СудАкт.ру,"В соответствии с ч. 1 ст. 6 ФЗ № 214 «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости» - Застройщик обязан передать участнику долевого строительства объект долевого строительства не позднее срока, который предусмотрен договором и должен быть единым для участников долевого строительства, которым застройщик обязан передать объекты долевого строительства..."
5QGQisx4HlZm,https://sudact.ru/regular/doc/5QGQisx4HlZm/,sudact.ru,Решение № 2-214/2025 2-214/2025~М-183/2025... :: СудАкт.ру,Решение № 2-214/2025 2-214/2025~М-183/2025 М-183/2025 от 17 августа 2025 г. по делу № 2-214/2025. Благовещенский районный суд (Алтайский край) - Гражданское. | Решение от 17 августа 2025 г. по делу № 2-214/2025 Решение от 28 июля 2025 г. по делу № 2-214/2025 Решение от 8 июля 2025 г. по делу № 2-214/2025 Решение от 5 июня 2025 г. по делу № 2-214/2025 Решение от 17 марта 2025 г. по делу № 2-214/2025.
rkAgSYTNrLLC,https://sudact.ru/regular/doc/rkAgSYTNrLLC/,sudact.ru,Решение № 2-2357/2025 2-2357/2025~М-982/2025... :: СудАкт.ру,"N 214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты РФ». Застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям проектной документации и градостроительных регламентов, а также иным обязательным требованиям."
ZtbkzNXofEly,https://sudact.ru/regular/doc/ZtbkzNXofEly/,sudact.ru,Решение № 2-1155/2020 от 29 июля 2020 г. по делу... :: СудАкт.ру,"Истец воспользовалась правом требования устранения выявленных недостатков и отказался от подписания передаточного акта, что соответствует положениям ч. 5 ст. 8 214-ФЗ, принятие квартиры 30.05.2017г. по акту с указанием недостатков явилось его правом, в связи с чем требование о взыскании неустойки за нарушение срока передачи квартиры правомерно, подлежит удовлетворению."
