docid,url,domain,title,passage
czgQ9u1UWPHD,https://sudact.ru/regular/doc/czgQ9u1UWPHD/,sudact.ru,Решение № 2-4546/2017 от 13 декабря 2017 г. по делу... :: СудАкт.ру,"Руководствуясь приведенными нормами налогового права и статьями 214.1, 214.3, 214.4 НК РФ ООО «Компания БКС» (доп.офис Алтайский) представлены в Межрайонную ИФНС России № по <адрес> сведения о получении в 2011 году ФИО2 дохода на общую сумму 69 522 646 955,64 руб., налоговых вычетов в сумме 69 470 260 960,27 руб., данные о совокупном облагаемом доходе в."
Ypys7Yagp5mu,https://sudact.ru/regular/doc/Ypys7Yagp5mu/,sudact.ru,Решение № 2-2295/2025 2-2295/2025(2-7447/2024...) :: СудАкт.ру,"Квартира была принята у застройщика по акту приема-передачи 20.12.2023 года, в настоящее время истец проживает в указанной квартире. Согласно п. 5.3 договора участия в долевом строительстве гарантийный срок объекта долевого строительства составляет 5 лет, что соответствует п. 5 ст. 7 Федерального закона от 30.12.2004 года № 214."
6JNfOIcg8VrJ,https://sudact.ru/regular/doc/6JNfOIcg8VrJ/,sudact.ru,Решение № 2-1454/2024 2-1454/2024(2-6490/2023...) :: СудАкт.ру,"В соответствии с ч. 1 ст. 7 Федерального закона № 214-ФЗ застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям технических регламентов, проектной документации и градостроительных регламентов, а также иным обязательным требованиям."
KxmNz092Sfbw,https://sudact.ru/regular/doc/KxmNz092Sfbw/,sudact.ru,Решение № 2-37/2024 2-37/2024(2-3785/2023...) :: СудАкт.ру,"Как следует из ст. 9 Федерального закона № 214-ФЗ, законодатель предусмотрел две возможности расторжения договора долевого участия в связи с неисполнением застройщиком обязательств по строительству объекта долевого участия, при которых строительство не может быть завершено в срок."
2XgbuyLyjsZS,https://sudact.ru/regular/doc/2XgbuyLyjsZS/,sudact.ru,Решение № 2-1459/2017 2-1459/2017 ~ М-1713/2017... :: СудАкт.ру,Решение № 2-1459/2017 2-1459/2017 ~ М-1713/2017 М-1713/2017 от 14 августа 2017 г. по делу № 9-214/2017~М-675/2017. Лазаревский районный суд г. Сочи (Краснодарский край) - Гражданские и административные.
9PEsUj2tx5Lw,https://sudact.ru/regular/doc/9PEsUj2tx5Lw/,sudact.ru,Решение № 2-8035/2024 2-8035/2024~М-5139/2024... :: СудАкт.ру,Согласно с ч. 1 ст. 4 Федерального закона от 30.12.2004 г. №214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации» (далее – ФЗ от 30.12.2004 № 214) по договору участия в долевом строительстве (далее также - договор) одна сторона (застройщик) обязуется в предусмотренный договором срок своими.
hXJYppVEsNbO,https://sudact.ru/regular/doc/hXJYppVEsNbO/,sudact.ru,Решение № 2-1161/2020 2-1161/2020~М-5989/2019... :: СудАкт.ру,"Согласно положениям ч. 2 ст. 9 Федерального закона от 30.12.2004 № 214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации» (далее - Федеральный закон от 30.12.2004 № 214-ФЗ) застройщик в случае расторжения договора по основаниям, предусмотренным частью 1 настоящей статьи, в течение двадцати рабочих дней."
1GvqWVhBTnLT,https://sudact.ru/regular/doc/1GvqWVhBTnLT/,sudact.ru,Решение № 2-476/2020 от 28 июля 2020 г. по делу № 9-214/2019...,Судебные и нормативные акты РФ. Решение № 2-476/2020 от 28 июля 2020 г. по делу № 9-214/2019~М-1800/2019 Вынесен: Рудничный районный суд г. Прокопьевска (Кемеровская область). Судья: Полюцкая О.А.. | Решение № 2-476/2020 от 28 июля 2020 г. по делу № 9-214/2019~М-1800/2019. Рудничный районный суд г. Прокопьевска (Кемеровская область) - Гражданские и административные.
DwkheohPRHZv,https://sudact.ru/regular/doc/DwkheohPRHZv/,sudact.ru,Решение № 2-6919/2023 2-6919/2023~М-5485/2023... :: СудАкт.ру,"При этом, ч. 1.2 ст. 9 ФЗ № 214-Ф3 установлено, что в случае, если застройщик надлежащим образом исполняет свои обязательства перед участником долевого строительства и соответствует предусмотренным настоящим Законом требованиям к застройщику, участник долевого строительства не имеет права на односторонний отказ от исполнения договора во внесудебном порядке."
tqP0gCC47eLa,https://sudact.ru/regular/doc/tqP0gCC47eLa/,sudact.ru,Решение № 2-4463/2018 2-4463/2018~М-3516/2018... :: СудАкт.ру,Решение № 2-4463/2018 2-4463/2018~М-3516/2018 М-3516/2018 от 7 октября 2018 г. по делу № 9-214/2018~М-5987/2017. Красногвардейский районный суд (Город Санкт-Петербург) - Гражданские и административные.
