docid,url,domain,title,passage
Ypys7Yagp5mu,https://sudact.ru/regular/doc/Ypys7Yagp5mu/,sudact.ru,Решение № 2-2295/2025 2-2295/2025(2-7447/2024...) :: СудАкт.ру,"Согласно п. 5.3 договора участия в долевом строительстве гарантийный срок объекта долевого строительства составляет 5 лет, что соответствует п. 5 ст. 7 Федерального закона от 30.12.2004 года № 214. После передачи объекта долевого строительства истцом были обнаружены недостатки, подтверждаемые заключением специалиста ООО ""МПЦСЭ"" от 25.04.2024 года с уведомлением застройщика о ее проведении."
KIAJvbkGgoxT,https://sudact.ru/regular/doc/KIAJvbkGgoxT/,sudact.ru,Апелляционное постановление № 22-9881/2025 от 29... :: СудАкт.ру,Судебные и нормативные акты РФ. Апелляционное постановление № 22-9881/2025 от 29 октября 2025 г. по делу № 1-214/2025 Вынесен: Московский областной суд (Московская область). Судья: Алябушева М.В.. | Апелляционное постановление № 22-9881/2025 от 29 октября 2025 г. по делу № 1-214/2025. Московский областной суд (Московская область) - Уголовное.
vKgxavJZ7ZYl,https://sudact.ru/regular/doc/vKgxavJZ7ZYl/,sudact.ru,Постановление № 5-214/2019 от 19 мая 2019 г. по... :: СудАкт.ру,
1p1AAlCp7iox,https://sudact.ru/regular/doc/1p1AAlCp7iox/,sudact.ru,Постановление № 5-214/2024 от 28 марта 2024 г. по... :: СудАкт.ру,Судебные и нормативные акты РФ. Постановление № 5-214/2024 от 28 марта 2024 г. по делу № 5-214/2024 Вынесен: Георгиевский городской суд (Ставропольский край). Судья: Шевченко В.П.. | по делу № 5-214/2024 Постановление от 2 февраля 2024 г. по делу № 5-214/2024 Постановление от 1 февраля 2024 г. по делу № 5-214/2024. Показать все документы по этому делу. Печать документа.
RpwmOvDCDzVw,https://sudact.ru/regular/doc/RpwmOvDCDzVw/,sudact.ru,Решение № 2-214/2025 2-214/2025(2-2560/2024...) :: СудАкт.ру,Решение № 2-214/2025 2-214/2025(2-2560/2024;)~М-1987/2024 2-2560/2024 М-1987/2024 от 17 марта 2025 г. по делу № 2-214/2025. Заводской районный суд г. Новокузнецка (Кемеровская область) - Гражданское. Дело № 2-214/2025 (Дело № 2-2560/2024).
gQJTDalrwsL4,https://sudact.ru/regular/doc/gQJTDalrwsL4/,sudact.ru,Решение № 2-214/2025 2-214/2025(2-2959/2024...) :: СудАкт.ру,Решение № 2-214/2025 2-214/2025(2-2959/2024;)~М-2663/2024 2-2959/2024 М-2663/2024 от 18 марта 2025 г. по делу № 2-214/2025. Ессентукский городской суд (Ставропольский край) - Гражданское. | Решение от 27 августа 2025 г. по делу № 2-214/2025 Решение от 1 июля 2025 г. по делу № 2-214/2025 Решение от 18 марта 2025 г. по делу № 2-214/2025 Решение от 13 января 2025 г. по делу № 2-214/2025.
vCIIP5SwATby,https://sudact.ru/regular/doc/vCIIP5SwATby/,sudact.ru,Решение № 2-214/2017 2-214/2017(2-4863/2016...) :: СудАкт.ру,Решение № 2-214/2017 2-214/2017(2-4863/2016;)~М-4804/2016 2-4863/2016 М-4804/2016 от 5 марта 2017 г. по делу № 2-214/2017. Ленинский районный суд г. Иваново (Ивановская область) - Гражданское. | по делу № 2-214/2017 Решение от 24 января 2017 г. по делу № 2-214/2017. Показать все документы по этому делу.
ZLpGEgO2P1rw,https://sudact.ru/regular/doc/ZLpGEgO2P1rw/,sudact.ru,Решение № 2-214/2023 2-2-214/2023 от 1 ноября 2023... :: СудАкт.ру,Дело № 2-2-214/2023 №. РЕШЕНИЕ. Именем Российской Федерации. | Решение от 1 ноября 2023 г. по делу № 2-214/2023 Решение от 27 июля 2023 г. по делу № 2-214/2023 Решение от 20 июля 2023 г. по делу № 2-214/2023 Решение от 15 мая 2023 г. по делу № 2-214/2023.
uJ7eANaEGv1B,https://sudact.ru/regular/doc/uJ7eANaEGv1B/,sudact.ru,Решение № 2-214/2021 от 28 марта 2021 г. по делу... :: СудАкт.ру,Судебные и нормативные акты РФ. Решение № 2-214/2021 от 28 марта 2021 г. по делу № 2-214/2021 Вынесен: Кабанский районный суд (Республика Бурятия). Судья: Герасименко В.С.. | дело № 2-214\2021. РЕШЕНИЕ.
tA4I3C4izbUw,https://sudact.ru/regular/doc/tA4I3C4izbUw/,sudact.ru,Решение № 2-214/2019 2-214/2019(2-4647/2018...) :: СудАкт.ру,Решение № 2-214/2019 2-214/2019(2-4647/2018;)~М-3743/2018 2-4647/2018 М-3743/2018 от 8 января 2019 г. по делу № 2-214/2019. Советский районный суд г. Нижний Новгород (Нижегородская область) - Гражданские и административные. Дело № 2-214/2019. РЕШЕНИЕ. Именем Российской Федерации.
AAQ1OEJsQbb9,https://sudact.ru/regular/doc/AAQ1OEJsQbb9/,sudact.ru,Решение № 2А-214/2021 2А-214/2021~М-79/2021... :: СудАкт.ру,Решение № 2А-214/2021 2А-214/2021~М-79/2021 М-79/2021 от 21 марта 2021 г. по делу № 2А-214/2021. Шахунский районный суд (Нижегородская область) - Гражданские и административные. | Решение от 21 марта 2021 г. по делу № 2А-214/2021 Решение от 18 марта 2021 г. по делу № 2А-214/2021.
BTfFhBO9bl5f,https://sudact.ru/regular/doc/BTfFhBO9bl5f/,sudact.ru,Решение № 2-214/2023 2-214/2023~М-151/2023... :: СудАкт.ру,Решение № 2-214/2023 2-214/2023~М-151/2023 М-151/2023 от 2 июня 2023 г. по делу № 2-214/2023. Ясненский районный суд (Оренбургская область) - Гражданское.
h50ZsUwZfl6m,https://sudact.ru/regular/doc/h50ZsUwZfl6m/,sudact.ru,Решение № 2-214/2021 от 1 июля 2021 г. по делу... :: СудАкт.ру,Судебные и нормативные акты РФ. Решение № 2-214/2021 от 1 июля 2021 г. по делу № 2-214/2021 Вынесен: Курагинский районный суд (Красноярский край). Судья: Рукосуева Е.В.. | № 2-214/2021. 77RS0007-01-2020-013924-36.
WOS9WW50OiL1,https://sudact.ru/regular/doc/WOS9WW50OiL1/,sudact.ru,Решение № 21-214/2019 от 16 декабря 2019 г. по делу... :: СудАкт.ру,21-214/2019 судья Грезнева Е.С. РЕШЕНИЕ. по жалобе по делу об административном правонарушении. | Решение от 26 октября 2020 г. по делу № 21-214/2019 Решение от 16 декабря 2019 г. по делу № 21-214/2019.
8UrotjGy1LN7,https://sudact.ru/regular/doc/8UrotjGy1LN7/,sudact.ru,Решение № 2А-214/2021 2А-214/2021~М-180/2021... :: СудАкт.ру,Решение № 2А-214/2021 2А-214/2021~М-180/2021 М-180/2021 от 16 июня 2021 г. по делу № 2А-214/2021. Обливский районный суд (Ростовская область) - Гражданские и административные. | Решение от 16 июня 2021 г. по делу № 2А-214/2021 Решение от 24 марта 2021 г. по делу № 2А-214/2021 Решение от 23 марта 2021 г. по делу № 2А-214/2021 Решение от 21 марта 2021 г. по делу № 2А-214/2021 Решение от 14 марта 2021 г. по делу №.
XtWyf9pM66ZV,https://sudact.ru/regular/doc/XtWyf9pM66ZV/,sudact.ru,Решение № 2-214/2020 2-214/2020~М-177/2020... :: СудАкт.ру,Решение № 2-214/2020 2-214/2020~М-177/2020 М-177/2020 от 18 октября 2020 г. по делу № 2-214/2020. Новониколаевский районный суд (Волгоградская область) - Гражданские и административные. Дело № 2-214/2020. Решение. Именем Российской Федерации.
