docid,url,domain,title,passage
CI0k4Khp0KxD,https://sudact.ru/regular/doc/CI0k4Khp0KxD/,sudact.ru,Решение № 12-218/2023 от 30 августа 2023 г. по делу № 12-218/2023 :: СудАкт.ру,
bPUuc9vT5d65,https://sudact.ru/regular/doc/bPUuc9vT5d65/,sudact.ru,Решение № 2-518/2023 2-518/2023~М-469/2023 М-469/2023 от 9 октября 2023 г. по делу № 2-518/2023 :: СудАкт.ру,
tinoecNo5fZJ,https://sudact.ru/regular/doc/tinoecNo5fZJ/,sudact.ru,Решение № 2-176/2023 2-176/2023~М-158/2023 М-158/2023 от 1 ноября 2023 г. по делу № 2-176/2023 :: СудАкт.ру,
LcdKitICPp6x,https://sudact.ru/regular/doc/LcdKitICPp6x/,sudact.ru,Решение № 2-1151/2021 2-1151/2021~М-930/2021 М-930/2021 от 1 июня 2021 г. по делу № 2-1151/2021 :: СудАкт.ру,
W6FEt4bPBndN,https://sudact.ru/regular/doc/W6FEt4bPBndN/,sudact.ru,Решение № 12-0528/2025 12-3705/2024 12-528/2025 от 6 апреля 2025 г. по делу № 12-0528/2025 :: СудАкт.ру,
RAqGmBTKWI5M,https://sudact.ru/regular/doc/RAqGmBTKWI5M/,sudact.ru,Апелляционное постановление № 10-26954/2025 от 21 декабря 2025 г. :: СудАкт.ру,
UwPPrIq6uDWx,https://sudact.ru/regular/doc/UwPPrIq6uDWx/,sudact.ru,Решение № 2-6892/2019 2-814/2020 2-814/2020(2-6892/2019;)~М-6487/2019 М-6487/2019 от 10 февраля 2020 г. по делу № 2-6892/2019 :: СудАкт.ру,
nILJLSNW6RxX,https://sudact.ru/regular/doc/nILJLSNW6RxX/,sudact.ru,Решение № 2-1006/2021 2-1006/2021~М-872/2021 М-872/2021 от 7 июля 2021 г. по делу № 2-1006/2021 :: СудАкт.ру,
YWZUFHOcLumd,https://sudact.ru/regular/doc/YWZUFHOcLumd/,sudact.ru,Протокол № 33-859/2024 от 19 февраля 2024 г. по делу № 2-875/2023 :: СудАкт.ру,
vBlplIC3jY6m,https://sudact.ru/regular/doc/vBlplIC3jY6m/,sudact.ru,Решение № 2А-12/2020 2А-12/2020(2А-312/2019;)~М-289/2019 2А-312/2019 М-289/2019 от 15 января 2020 г. по делу № 2А-12/2020 :: СудАкт.ру,
MuS8GE5bsl17,https://sudact.ru/regular/doc/MuS8GE5bsl17/,sudact.ru,Определение № 33-4636/2017 от 14 июня 2017 г. по делу № 33-4636/2017 :: СудАкт.ру,
vcxfeE9NN11A,https://sudact.ru/regular/doc/vcxfeE9NN11A/,sudact.ru,Решение № 2-2142/2020 2-2142/2020~М-1275/2020 М-1275/2020 от 6 июля 2020 г. по делу № 2-2142/2020 :: СудАкт.ру,
oMmLsT0xtHbP,https://sudact.ru/regular/doc/oMmLsT0xtHbP/,sudact.ru,Решение № 2-339/2021 2-339/2021~М-308/2021 М-308/2021 от 14 июня 2021 г. по делу № 2-339/2021 :: СудАкт.ру,
IxqDo2hAKwVr,https://sudact.ru/regular/doc/IxqDo2hAKwVr/,sudact.ru,Апелляционное постановление № 10-14767/2025 от 22 июля 2025 г. по делу № 4/17-0008/2025 :: СудАкт.ру,
7i7rhw1l6NNn,https://sudact.ru/regular/doc/7i7rhw1l6NNn/,sudact.ru,Решение № 30-1-219/2022 от 27 мая 2022 г. по делу № 30-1-219/2022 :: СудАкт.ру,
U5VFm1cFTKbr,https://sudact.ru/regular/doc/U5VFm1cFTKbr/,sudact.ru,Решение № 12-316/2023 от 22 октября 2023 г. по делу № 12-316/2023 :: СудАкт.ру,
pQxpaLlJG250,https://sudact.ru/regular/doc/pQxpaLlJG250/,sudact.ru,Решение № 30-2-218/2021 от 28 апреля 2021 г. по делу № 30-2-218/2021 :: СудАкт.ру,
tDxskCjKp9du,https://sudact.ru/regular/doc/tDxskCjKp9du/,sudact.ru,Решение № 7-161/2019 7-2/2020 от 29 января 2020 г. по делу № 7-161/2019 :: СудАкт.ру,
uE6bog15N6Qj,https://sudact.ru/regular/doc/uE6bog15N6Qj/,sudact.ru,Постановление № 4А-1483/2018 от 28 декабря 2018 г. по делу № 4А-1483/2018 :: СудАкт.ру,
