docid,url,domain,title,passage
J4ScEeOmR1rK,https://sudact.ru/regular/doc/J4ScEeOmR1rK/,sudact.ru,Решение № 2-214/2025 2-214/2025(2-4334/2024...) :: СудАкт.ру,Решение от 11 января 2026 г. по делу № 2-214/2025 Решение от 20 июня 2025 г. по делу № 2-214/2025 Решение от 10 июня 2025 г. по делу № 2-214/2025 Решение от 2 апреля 2025 г. по делу № 2-214/2025 Решение от 26 марта 2025 г. по делу № 2-214/2025 Решение от 4.
YCyTtWqInOmK,https://sudact.ru/regular/doc/YCyTtWqInOmK/,sudact.ru,Решение № 2-4174/2023 2-4174/2023~М-2006/2023... :: СудАкт.ру,"В соответствии с ч. 1 ст. 7 Федерального закона № 214-ФЗ застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям технических регламентов, проектной документации и градостроительных регламентов, а также иным обязательным требованиям."
xfBBJLmJ9NoV,https://sudact.ru/regular/doc/xfBBJLmJ9NoV/,sudact.ru,Решение № 2-112/2020 2-112/2020(2-3913/2019...) :: СудАкт.ру,"Истец в судебное заседание не явилась, извещена надлежаще о месте и времени рассмотрения дела (л.д.214). Представитель истца ФИО1 в судебном заседании на удовлетворении уточненных исковых требований настаивала по основаниям, изложенным в исковом заявлении."
WHn796jskSgN,https://sudact.ru/regular/doc/WHn796jskSgN/,sudact.ru,Решение № 2-126/2025 2-126/2025(2-3653/2024...) :: СудАкт.ру,"Отношения, связанные с привлечением денежных средств граждан для долевого строительства многоквартирных домов и иных объектов недвижимости, урегулированы Федеральным законом от 30.12.2004 № 214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации» (далее Федеральный закон от 30.12.2004 № 214-ФЗ)."
9PEsUj2tx5Lw,https://sudact.ru/regular/doc/9PEsUj2tx5Lw/,sudact.ru,Решение № 2-8035/2024 2-8035/2024~М-5139/2024... :: СудАкт.ру,Согласно с ч. 1 ст. 4 Федерального закона от 30.12.2004 г. №214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации» (далее – ФЗ от 30.12.2004 № 214) по договору участия в долевом строительстве (далее также - договор) одна сторона (застройщик) обязуется в предусмотренный договором срок своими.
5QGQisx4HlZm,https://sudact.ru/regular/doc/5QGQisx4HlZm/,sudact.ru,Решение № 2-214/2025 2-214/2025~М-183/2025... :: СудАкт.ру,Решение № 2-214/2025 2-214/2025~М-183/2025 М-183/2025 от 17 августа 2025 г. по делу № 2-214/2025. Благовещенский районный суд (Алтайский край) - Гражданское. | Решение от 17 августа 2025 г. по делу № 2-214/2025 Решение от 28 июля 2025 г. по делу № 2-214/2025 Решение от 8 июля 2025 г. по делу № 2-214/2025 Решение от 5 июня 2025 г. по делу № 2-214/2025 Решение от 17 марта 2025 г. по делу № 2-214/2025.
KPSCpAxfTIxn,https://sudact.ru/regular/doc/KPSCpAxfTIxn/,sudact.ru,Решение № 2-1661/2024 2-1661/2024~М-214/2024... :: СудАкт.ру,Решение № 2-1661/2024 2-1661/2024~М-214/2024 М-214/2024 от 13 февраля 2024 г. по делу № 2-1661/2024. Канавинский районный суд г. Нижний Новгород (Нижегородская область) - Гражданское.
1p1AAlCp7iox,https://sudact.ru/regular/doc/1p1AAlCp7iox/,sudact.ru,Постановление № 5-214/2024 от 28 марта 2024 г. по... :: СудАкт.ру,Судебные и нормативные акты РФ. Постановление № 5-214/2024 от 28 марта 2024 г. по делу № 5-214/2024 Вынесен: Георгиевский городской суд (Ставропольский край). Судья: Шевченко В.П.. | по делу № 5-214/2024 Постановление от 2 февраля 2024 г. по делу № 5-214/2024 Постановление от 1 февраля 2024 г. по делу № 5-214/2024. Показать все документы по этому делу. Печать документа.
69s3JVD9V2xR,https://sudact.ru/regular/doc/69s3JVD9V2xR/,sudact.ru,Апелляционное определение № 33-61475/2025 от 21... :: СудАкт.ру,"Федеральным законом от 26.12.2024 г. № 482-ФЗ внесены изменения в Федеральный закон от 30.12.2004 года № 214-ФЗ, статья 10 данного закона дополнена частью 4, согласно которой при удовлетворении судом требований участника долевого строительства в связи с нарушением застройщиком требований к результату производства отделочных работ, работ по установке оконных и дверных блоков, сантехнического оборудования и входящих в состав."
TAGPJRiKnOQh,https://sudact.ru/regular/doc/TAGPJRiKnOQh/,sudact.ru,Решение № 2-214/2020 от 27 апреля 2020 г. по делу... :: СудАкт.ру,Судебные и нормативные акты РФ. Решение № 2-214/2020 от 27 апреля 2020 г. по делу № 2-214/2020 Вынесен: Тихвинский городской суд (Ленинградская область). Судья: Удюкова И.В.. | Решение № 2-214/2020 от 27 апреля 2020 г. по делу № 2-214/2020. Тихвинский городской суд (Ленинградская область) - Гражданские и административные.
