docid,url,domain,title,passage
zCfOD70dZF1,https://sudact.ru/regular/doc/zCfOD70dZF1/,sudact.ru,Решение № 2-420/2021 2-420/2021~М-235/2021... :: СудАкт.ру,"Доказательств в опровержение данных обстоятельств, о том, что до потребителя перед приобретением последним товара была доведена полная и достоверная информация о товаре, в том числе об ограничениях его использования, не предоставлено. В связи с этим суд приходит к выводу о том, что требования, установленные статьями 8, 10 Закона РФ «О защите прав потребителей» продавцом не были выполнены в полном объеме."
nfLIiVfnIsbj,https://sudact.ru/regular/doc/nfLIiVfnIsbj/,sudact.ru,Решение № 2-1233/2023 2-1233/2023~М-443/2023 М-443/2023 от 12...,"Статьей 15 Закона о защите прав потребителей установлено, что моральный вред, причиненный потребителю вследствие нарушения изготовителем (исполнителем, продавцом, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) прав потребителя, предусмотренных законами и правовыми актами Российской Федерации, регулирующими отношения в области защиты прав потребителей, подлежит компенсации причинителем вреда при наличии его вины."
wzkaHAf8E21E,https://sudact.ru/regular/doc/wzkaHAf8E21E/,sudact.ru,Решение № 2-1742/2025 2-1742/2025~М-810/2025... :: СудАкт.ру,"Таким образом, владелец агрегатора информации о товарах ООО ""Маркетплейс"" в нарушение пункта 1.2 статьи 9 Закона РФ ""О защите прав потребителей"" разместил на информационном ресурсе (платформе) ""Мегамаркет"" недостоверную информацию о продавце, а именно, что ИП ФИО2, используя коммерческое обозначение ""SmartEx"", реализовывал ноутбуки ""Apple MacBook Air 15 15.3"" 2023 M2 16/512GB Midnight"" по цене 68 990 руб. за."
VUbLq3N4mHLg,https://sudact.ru/regular/doc/VUbLq3N4mHLg/,sudact.ru,Решение № 2-831/2023 2-831/2023~М-610/2023... :: СудАкт.ру,"Статьей 12 Закона о защите прав потребителей предусмотрено, что, если потребителю не предоставлена возможность незамедлительно получить при заключении договора информацию о товаре (работе, услуге), он вправе потребовать от продавца (исполнителя) возмещения убытков, причиненных необоснованным уклонением от заключения договора, а если договор заключен, в разумный срок отказаться от его исполнения и потребовать возврата уплаченной за товар суммы и возмещения других убытков (пункт."
SW7BQ3oEiqbU,https://sudact.ru/regular/doc/SW7BQ3oEiqbU/,sudact.ru,Решение № 2-2119/2020 2-2119/2020~М-1924/2020... :: СудАкт.ру,"Статья 12 Закона РФ ""О защите прав потребителей"" дает право истцу отказаться от исполнения договора купли-продажи и потребовать возврата оплаченных по договору денежных средств. | При этом, довод истца о предоставлении ответчиком неполной, недостоверной информации о месте проведения ремонта автомобиля, своего подтверждения в ходе рассмотрения дела не нашел. Напротив, указанный довод опровергается представленными в материалы дела письменными доказательствами."
JFu0uFMkN6QK,https://sudact.ru/regular/doc/JFu0uFMkN6QK/,sudact.ru,Решение № 2-1277/2020 2-1277/2020~М-239/2020... :: СудАкт.ру,"В силу статьи 12 Закона защите прав потребителей, если потребителю не предоставлена возможность незамедлительно получить при заключении договора информацию о товаре, он вправе в разумный срок отказаться от исполнения заключенного договора купли-продажи и потребовать возврата уплаченной за товар суммы и возмещения других убытков."
Z6ECxE1FZGbR,https://sudact.ru/regular/doc/Z6ECxE1FZGbR/,sudact.ru,Решение № 2-1135/2023 2-1135/2023~М-958/2023... :: СудАкт.ру,"Частью 10 статьи 4 Закона о кредитных историях установлено, что в состав кредитной истории включается информация о всех изменениях, содержащихся в ней сведений. | права последней как потребителя, противоречит положениям статьи 388 Гражданского кодекса РФ и в силу статьи 168 Гражданского кодекса РФ является недействительным в той части, в какой допускает такую уступку прав требования третьим лицам, не имеющим лицензии на осуществление банковской деятельности."
poxiixn4H5dr,https://sudact.ru/regular/doc/poxiixn4H5dr/,sudact.ru,Решение № 2-27/2020 2-27/2020(2-3673/2019...) :: СудАкт.ру,"В соответствии со статьёй 15 Закона РФ «О защите прав потребителей» моральный вред, причиненный потребителю вследствие нарушения изготовителем (исполнителем, продавцом, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) прав потребителя, предусмотренных законами и правовыми актами РФ, регулирующими отношения в области защиты прав потребителей, подлежит компенсации причинителем вреда при наличии его вины."
qUSClQ9f9n5N,https://sudact.ru/regular/doc/qUSClQ9f9n5N/,sudact.ru,Решение № 2-695/2020 2-695/2020~М-573/2020... :: СудАкт.ру,"В статье 22 Закона о защите прав потребителей установлено, что требования потребителя о возврате уплаченной за товар денежной суммы подлежат удовлетворению продавцом в течение десяти дней со дня предъявления соответствующего требования. За нарушение указанного срока удовлетворения законного требования потребителя пунктом 1 статьи 23 Закона о защите прав потребителей установлена ответственность в виде неустойки, которую продавец, допустивший такое нарушение..."
yKzioxtguMYK,https://sudact.ru/regular/doc/yKzioxtguMYK/,sudact.ru,Решение № 2-619/2020 2-619/2020~М-401/2020... :: СудАкт.ру,"Согласно статье 10 Закона о защите прав потребителей изготовитель (исполнитель, продавец) обязан своевременно предоставлять потребителю необходимую и достоверную информацию о товарах (работах, услугах), обеспечивающую возможность их правильного выбора. Как следует из пункта 2 статьи 16 Закона о защите прав потребителей, запрещается обусловливать приобретение одних товаров (работ, услуг) обязательным приобретением иных товаров (работ, услуг)."
