docid,url,domain,title,passage
mJA08TMXuhUr,https://sudact.ru/regular/doc/mJA08TMXuhUr/,sudact.ru,Решение № 2-4003/2017 от 26 октября 2017 г. по делу... :: СудАкт.ру,"Статья 28 Закона «О защите прав потребителей» предусматривает последствия нарушения исполнителем сроков выполнения работ (оказания услуг). Так, если исполнитель нарушил сроки выполнения работы (оказания услуги) - сроки начала и (или) окончания выполнения работы (оказания услуги) и (или) промежуточные сроки выполнения работы (оказания услуги) или во время выполнения работы (оказания услуги) стало очевидным, что она не будет выполнена в срок, потребитель по своему выбору вправе..."
3CbF7Lc1r1LN,https://sudact.ru/regular/doc/3CbF7Lc1r1LN/,sudact.ru,Решение № 2-2695/2017 от 7 декабря 2017 г. по делу... :: СудАкт.ру,"В силу пункта 1 статьи 27 Закона о защите прав потребителей исполнитель обязан осуществить выполнение работы в срок, установленный договором о выполнении работ. | К существенным отступлениям от условий договора статья 28 Закона о защите прав потребителей относит нарушение сроков выполнения работы."
wFi2vxSxKHln,https://sudact.ru/regular/doc/wFi2vxSxKHln/,sudact.ru,Решение № 2-2167/2019 2-2167/2019~М-2407/2019... :: СудАкт.ру,"В соответствии с частью 1 статьи 27 Закона Российской Федерации ""О защите прав потребителей"" №2300-1 от 07 февраля 1992 года исполнитель обязан осуществить выполнение работы в срок, установленный договором о выполнении работ. Статья 28 Закона Российской Федерации ""О защите прав потребителей"" №2300-1 от 07 февраля 1992 года предусматривает ответственность исполнителя за нарушение срока выполнения работ."
Lo4QjMzsb9ln,https://sudact.ru/regular/doc/Lo4QjMzsb9ln/,sudact.ru,Решение № 2-1077/2019 2-1077/2019~М-986/2019... :: СудАкт.ру,"В рассматриваемом случае установлены сроки начала работ – следующий день после поступления авансового платежа, то есть не позднее 19 марта 2019 года. Сроки окончания работ – в течении 60 календарных дней, то есть – до 16 мая 2019, которые, как установлено судом, ответчиком нарушены. Статья 28 Закона о защите прав потребителей предусматривает последствия нарушения исполнителем сроков выполнения работ (оказания услуг)."
YNoOFAgZJmLv,https://sudact.ru/regular/doc/YNoOFAgZJmLv/,sudact.ru,Решение № 2-2669/2018 2-2669/2018~М-1223/2018... :: СудАкт.ру,"Договора, поставили начальный срок выполнения Подрядчиком работ по договору, в зависимость от момента первого платежа на сумму 1 063 000 рублей совершенного Заказчиком по договору. | Согласно статье 32 Закона о защите прав потребителей потребитель вправе отказаться от исполнения договора о выполнении работ (оказании услуг) в любое время при условии оплаты исполнителю фактически понесенных им расходов, связанных с исполнением обязательств по данному договору."
0qJvaL8TjRNK,https://sudact.ru/regular/doc/0qJvaL8TjRNK/,sudact.ru,Решение № 2-192/2020 2-192/2020(2-5926/2019...) :: СудАкт.ру,"Согласно пункта 5 статьи 28 Закона РФ «О защите прав потребителей» в случае нарушения установленных сроков выполнения работы или назначенных потребителем на основании пункта 1 настоящей статьи новых сроков исполнитель уплачивает потребителю за каждый день (час, если срок определен в часах) просрочки неустойку в размере 3 % цены выполнения работы, а если цена выполнения работы договором о выполнении работ не определена - общей цены заказа."
8U4pkUsSIVVX,https://sudact.ru/regular/doc/8U4pkUsSIVVX/,sudact.ru,Решение № 2-4556/2025 2-4556/2025~М-3007/2025... :: СудАкт.ру,"В силу пункта 5 статьи 28 Закона Российской Федерации «О защите прав потребителей» в случае нарушения установленных сроков выполнения работы (оказания услуги) или назначенных потребителем на основании пункта 1 настоящей статьи новых сроков исполнитель уплачивает потребителю за каждый день (час, если срок определен в часах) просрочки неустойку (пеню) в размере трех процентов цены выполнения работы (оказания услуги), а если цена выполнения."
WBfIewmrCUQH,https://sudact.ru/regular/doc/WBfIewmrCUQH/,sudact.ru,Решение № 2-3176/2020 от 26 июля 2020 г. по делу... :: СудАкт.ру,"Согласно пункту 1 статьи 31 Закона о защите прав потребителей требования потребителя об уменьшении цены за выполненную работу (оказанную услугу), о возмещении расходов по устранению недостатков выполненной работы (оказанной услуги) своими силами или третьими лицами, а также о возврате уплаченной за работу (услугу) денежной суммы и возмещении убытков, причиненных в связи с отказом от исполнения договора, предусмотренные пунктом 1 статьи 28."
ZwT0slBVSQm,https://sudact.ru/regular/doc/ZwT0slBVSQm/,sudact.ru,Решение № 2-3352/2019 2-502/2020 2-502/2020... :: СудАкт.ру,"о защите прав потребителей в случае нарушения установленных сроков удовлетворения требований потребителя исполнитель уплачивает потребителю за каждый день (час, если срок определен в часах) просрочки неустойку (пеню) в размере трех процентов цены выполнения работы (оказания услуги), а если цена выполнения работы (оказания услуги) договором о выполнении работ (оказании услуг) не определена - общей цены заказа."
sei0HpVRwcHH,https://sudact.ru/regular/doc/sei0HpVRwcHH/,sudact.ru,Решение № 2-4143/2021 2-4143/2021~М-1189/2021... :: СудАкт.ру,"Согласно части 5 статьи 28 Закона РФ «О защите прав потребителей» в случае нарушения установленных сроков выполнения работы (оказания услуги) или назначенных потребителем на основании пункта 1 настоящей статьи новых сроков исполнитель уплачивает потребителю за каждый день (час, если срок определен в часах) просрочки неустойку (пеню) в размере трех процентов цены выполнения работы (оказания услуги), а если цена выполнения работы (оказания. услуги) договором о выполнении работ..."
