docid,status,dispute_type_code,claim_type_codes,result_type,index_policy,main_site_fit,validation_status,verification_status,note
FTrYrTTzEals,structured,distance_sale_return_art26_1,refund_price;penalty;moral_damage;consumer_fine;expenses,satisfied,index,True,ok,ok,duplicate_in_other_batch
wzkaHAf8E21E,structured,prepaid_goods_delay_art23_1,refund_price;penalty;damages;moral_damage;consumer_fine;expenses,satisfied,index,True,ok,ok,duplicate_in_other_batch
p103xklic1mg,structured,info_violation_art10_12,refund_price;penalty;damages;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,duplicate_in_other_batch
lxw63q3TtAZj,structured,contract_validity_non_zpp,expenses;moral_damage;consumer_fine,satisfied,index,True,ok,ok,duplicate_in_other_batch
5M1CUDzM98LB,structured,info_violation_art10_12,damages;expenses;moral_damage;consumer_fine,satisfied,index,True,ok,ok,
4nJ71tJWGLLr,structured,info_violation_art10_12,moral_damage;consumer_fine,satisfied,index,True,ok,ok,duplicate_in_other_batch
ByA2BTi7BoHa,structured,distance_sale_return_art26_1,damages;moral_damage;consumer_fine;penalty,partially_satisfied,index,True,ok,ok,duplicate_in_other_batch
x6ed9pqkhSoh,structured,info_violation_art10_12,damages;expenses;moral_damage;consumer_fine,satisfied,index,True,ok,ok,duplicate_in_other_batch
fVJm3HMVkt5H,structured,distance_sale_return_art26_1,penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,duplicate_in_other_batch
Xv7HfiRU2tVq,structured,distance_sale_return_art26_1,penalty;expenses,satisfied,index,True,ok,ok,
nfLIiVfnIsbj,structured,prepaid_goods_delay_art23_1,compel_transfer;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,duplicate_in_other_batch
7ng73tMHgy5O,structured,info_violation_art10_12,damages;moral_damage;consumer_fine;expenses,satisfied,index,True,ok,ok,duplicate_in_other_batch
FQi78fsHgSYx,structured,info_violation_art10_12,damages;penalty;moral_damage;consumer_fine,satisfied,index,True,ok,ok,duplicate_in_other_batch
Sgq21BEqhrWO,structured,prepaid_goods_delay_art23_1,compel_transfer;moral_damage;consumer_fine,satisfied,index,True,ok,ok,duplicate_in_other_batch
xwrG3d38fUVg,structured,contract_validity_non_zpp,moral_damage;consumer_fine,hold,hold,False,ok,ok,duplicate_in_other_batch
mJA08TMXuhUr,structured,work_service_defect_art29,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
3CbF7Lc1r1LN,structured,work_service_delay_art28,refund_price;consumer_fine;moral_damage;expenses,rejected,index,True,ok,ok,
wFi2vxSxKHln,structured,work_service_delay_art28,refund_price;penalty,satisfied,index,True,ok,ok,
Lo4QjMzsb9ln,structured,work_service_delay_art28,refund_price;penalty;consumer_fine,satisfied,index,True,ok,ok,
YNoOFAgZJmLv,structured,work_service_defect_art29,refund_price;damages;penalty;consumer_fine,mixed,index,True,ok,ok,
0qJvaL8TjRNK,structured,work_service_defect_art29,refund_price;penalty;damages;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
8U4pkUsSIVVX,structured,work_service_delay_art28,refund_price;penalty;moral_damage;consumer_fine;expenses,hold,hold,False,ok,ok,
WBfIewmrCUQH,structured,service_refusal_art32,contract_recognition;refund_price;penalty;moral_damage;consumer_fine;expenses,mixed,index,True,ok,ok,
ZwT0slBVSQm,structured,contract_validity_non_zpp,damages;moral_damage;consumer_fine;expenses,hold,hold,False,ok,ok,
