docid,source_url,status,raw_act_path,raw_text_sha256,note
FGX1FyE5nZNv,https://sudact.ru/regular/doc/FGX1FyE5nZNv/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_FGX1FyE5nZNv.txt,85d997dd5ed04cff8128305fe8361c012849d40ad272f0484c57d740e30b0f50,
W33FU0lFLlZJ,https://sudact.ru/regular/doc/W33FU0lFLlZJ/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_W33FU0lFLlZJ.txt,3f31c89d01f99367517fe2cdc7dda74d6060387f3ccb6345aeaf9afca2f423b8,
JhSL3cL8u4oB,https://sudact.ru/regular/doc/JhSL3cL8u4oB/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_JhSL3cL8u4oB.txt,b91f455be67c8cb24f2b51bc2295e68b6e30d443e46d52d1a607ae4f6e871905,
3mGKVaOIJ3g8,https://sudact.ru/regular/doc/3mGKVaOIJ3g8/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_3mGKVaOIJ3g8.txt,63338814cb1d0bb6ce14f542778d9a5a2c257387c7d4f9260b3b3633049c5d29,
a39bcsyWpdHv,https://sudact.ru/regular/doc/a39bcsyWpdHv/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_a39bcsyWpdHv.txt,f2cfca2043341156c742733f20affbda0e450744bd9ba1393d4f3d30036bd684,
urAwlIOo5lgF,https://sudact.ru/regular/doc/urAwlIOo5lgF/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_urAwlIOo5lgF.txt,ca436f8b98c7fdc0b36ba697b8c824869f5dc73b505b4f579db21fd90ff3b4e5,
MaqpPxOPwzWF,https://sudact.ru/regular/doc/MaqpPxOPwzWF/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_MaqpPxOPwzWF.txt,3ab29273c1033deb7d7698e29e3315484d7995c77fec4e96358208e057a6aed3,
GMjXio3dnCrR,https://sudact.ru/regular/doc/GMjXio3dnCrR/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_GMjXio3dnCrR.txt,b02d9237e30ab87f92f12d0c27b243b3d7747135f28bada8fcbb4bf24ff07178,
85sGjvBZd3lR,https://sudact.ru/regular/doc/85sGjvBZd3lR/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_85sGjvBZd3lR.txt,a33ed77b8fcbb4ba9fae003f1f62f49eccb97dfb41846f056b40428774141297,
0Y1JyoZbl3HL,https://sudact.ru/regular/doc/0Y1JyoZbl3HL/,fetched,D:/YandexDisk/Legal-projects/zpp-consult/data/raw_acts/act_0Y1JyoZbl3HL.txt,91d83567ca0501c8e196ceff7fd88dcf87d530ab3fa74c2be574876e20af94f0,
