docid,url,domain,title,passage
IGatj9CndNrz,https://sudact.ru/regular/doc/IGatj9CndNrz/,sudact.ru,Решение № 2-200/2019 2-200/2019(2-3621/2018...) :: СудАкт.ру,"Статья 14 Закона о защите прав потребителей предусматривает, что вред, причиненный жизни, здоровью или имуществу потребителя вследствие конструктивных, производственных, рецептурных или иных недостатков товара (работы, услуги), подлежит возмещению в полном объеме. Вред, причиненный вследствие недостатков работы или услуги, подлежит возмещению исполнителем."
17KhMs8uDxmn,https://sudact.ru/regular/doc/17KhMs8uDxmn/,sudact.ru,Решение № 2-2624/2017 от 20 июня 2017 г. по делу... :: СудАкт.ру,"В соответствии со статьей 14 Закона РФ «О защите прав потребителей» вред, причиненный жизни, здоровью или имуществу потребителя вследствие конструктивных, производственных, рецептурных или иных недостатков товара (работы, услуги), подлежит возмещению в полном объеме. Право требовать возмещения вреда, причиненного вследствие недостатков товара (работы, услуги), признается за любым потерпевшим независимо от того, состоял он в договорных отношениях с продавцом (исполнителем) или нет."
UMSVHkiyiN6Q,https://sudact.ru/regular/doc/UMSVHkiyiN6Q/,sudact.ru,Решение № 2-1042/2017 от 6 декабря 2017 г. по делу... :: СудАкт.ру,"В соответствии с п.1 ст.14 Закона «О защите прав потребителей» вред, причиненный жизни, здоровью или имуществу потребителя вследствие конструктивных, производственных, рецептурных или иных недостатков товара (работы, услуги), подлежит возмещению в полном объеме. Согласно пункту 1 статьи 38 Федерального закона от 26.03.2003 г. N 35-ФЗ ""Об электроэнергетике"" субъекты электроэнергетики, обеспечивающие поставки электрической энергии потребителям электрической энергии..."
bgSVj285E3ZP,https://sudact.ru/regular/doc/bgSVj285E3ZP/,sudact.ru,Решение № 2-2425/2015 2-2425/2015~М-2779/2015... :: СудАкт.ру,"применяться общие положения Закона о защите прав потребителей, в частности о праве граждан на предоставление информации (статьи 8 - 12), об ответственности за нарушение прав потребителей (статья 13), о возмещении вреда (статья 14), о компенсации морального вреда (статья 15), об альтернативной подсудности (пункт 2 статьи 17), а также об освобождении от уплаты государственной пошлины."
C9SrxQGQwsxa,https://sudact.ru/regular/doc/C9SrxQGQwsxa/,sudact.ru,Решение № 2-2799/2020 2-2799/2020~М-2605/2020... :: СудАкт.ру,"При этом в соответствии со статьей 1098 Гражданского кодекса РФ и пунктом 5 статьи 14 Закона РФ «О защите прав потребителей» исполнитель услуги освобождается от ответственности в случае, если докажет, что вред возник вследствие непреодолимой силы или нарушения потребителем установленных правил пользования товаром, результатами работы, услуги или их хранения."
eNap3egF8yYP,https://sudact.ru/regular/doc/eNap3egF8yYP/,sudact.ru,Решение № 2-575/2019 2-575/2019(2-7340/2018...) :: СудАкт.ру,"Согласно статье 14 (пункты 1, 2) Закона о защите прав потребителей вред, причиненный жизни, здоровью или имуществу потребителя вследствие конструктивных, производственных, рецептурных или иных недостатков товара (работы, услуги), подлежит возмещению в полном объеме. Право требовать возмещения вреда, причиненного вследствие недостатков товара (работы, услуги), признается за любым потерпевшим независимо от того, состоял он в договорных отношениях с продавцом (исполнителем) или нет."
2CFuVIPm27d0,https://sudact.ru/regular/doc/2CFuVIPm27d0/,sudact.ru,Решение № 2-3705/2017 от 26 ноября 2017 г. по делу... :: СудАкт.ру,"На основании статьи 14 (пункты 1, 2, 3) Закона о защите прав потребителей, вред, причиненный жизни, здоровью или имуществу потребителя вследствие конструктивных, производственных, рецептурных или иных недостатков товара (работы, услуги), подлежит возмещению в полном объеме. Право требовать возмещения вреда, причиненного вследствие недостатков товара (работы, услуги), признается за любым потерпевшим независимо от того, состоял он в договорных отношениях с продавцом (исполнителем) или нет."
TDpRFW3KQ4xW,https://sudact.ru/regular/doc/TDpRFW3KQ4xW/,sudact.ru,Решение № 2-374/2020 2-374/2020(2-5473/2019...) :: СудАкт.ру,"Статьей 7 Закона РФ от. ДД.ММ.ГГГГ № «О защите прав потребителей» установлено право потребителя на то, чтобы услуга не причиняла вред его имуществу. При этом статьей 14 Закона РФ от ДД.ММ.ГГГГ № «О защите прав потребителей» предусмотрено, что право требовать возмещения вреда, причиненного вследствие недостатков товара (работы, услуги), признается за любым потерпевшим независимо от того, состоял он в договорных отношениях с продавцом (исполнителем) или нет."
rzLiynLmxaxN,https://sudact.ru/regular/doc/rzLiynLmxaxN/,sudact.ru,Решение № 01070/2018 2-2448/2018 2-8/2019 2-8/2019... :: СудАкт.ру,"Статьей 7 Закона «О защите прав потребителей» предусмотрено, что потребитель имеет право на то, чтобы товар (работа, услуга) при обычных условиях его использования, хранения, транспортировки и утилизации был безопасен для жизни, здоровья потребителя, окружающей среды, а также не причинял вред имуществу потребителя."
k2cPUTq3HDrX,https://sudact.ru/regular/doc/k2cPUTq3HDrX/,sudact.ru,Решение № 2-1207/2016 2-18/2017 от 16 мая 2017 г. по... :: СудАкт.ру,"В силу статьи 14 Закона Российской Федерации ""О защите прав потребителей"" вред, причиненный жизни, здоровью или имуществу потребителя вследствие конструктивных, производственных, рецептурных или иных недостатков товара (работы, услуги), подлежит возмещению в полном объеме. Право требовать возмещения вреда, причиненного вследствие недостатков услуги, признается за любым потерпевшим независимо от того, состоял он в договорных отношениях с продавцом (исполнителем) или нет."
