docid,url,domain,title,passage
etduQEx0I5Wv,https://sudact.ru/regular/doc/etduQEx0I5Wv/,sudact.ru,Решение № 2-236/2020 2-4547/2019 от 24 мая 2020... :: СудАкт.ру,"В этой связи по основанию ст. 35 Закона РФ «О защите прав потребителей» просит взыскать с ответчика размер возмещения вреда, причиненного истице повреждением вещи (принадлежащих ей 4-х автопокрышек), переданной ею ответчику для выполнения работ по демонтажу, двукратную стоимость утраченного материала (вещи), в размере 73 680 рублей, поскольку на дату вынесения решения суда стоимость 4-х автопокрышек составляет 36."
KGxYKfv5qQNh,https://sudact.ru/regular/doc/KGxYKfv5qQNh/,sudact.ru,Решение № 2-7234/2018 от 9 июля 2018 г. по делу... :: СудАкт.ру,"В соответствии со статьей 35 Закона РФ «О защите прав потребителей» в случае полной утраты вещи, принятой от потребителя, исполнитель обязан в трехдневиый срок заменить ее однородной вещью аналогичного качества, а при отсутствии однородной вещи аналогичного качества - возместить потребителю двукратную цену утраченного (поврежденного) материала (вещи), а также расходу, понесенные потребителем."
OiVXdUIOiRYW,https://sudact.ru/regular/doc/OiVXdUIOiRYW/,sudact.ru,Решение № 2-2185/1828 2-2185/2018 2-2185/2018... :: СудАкт.ру,"Согласно абзацу 5 части 1 статьи 35 Закона Российской Федерации «О защите прав потребителей» в случае полной или частичной утраты (повреждения) материала (вещи), принятого от потребителя, исполнитель обязан в трехдневный срок заменить его однородным материалом (вещью) аналогичного качества и по желанию потребителя изготовить изделие из однородного материала (вещи) в разумный срок, а при отсутствии однородного материала (вещи) аналогичного качества - возместить потребителю."
iiFrae5lHbdp,https://sudact.ru/regular/doc/iiFrae5lHbdp/,sudact.ru,Решение № 2-5622/2018 2-654/2019 от 16 апреля 2019... :: СудАкт.ру,"В силу абзаца 3 п. 1 ст. 29 Закона РФ ""О защите прав потребителей"", потребитель вправе отказаться от исполнения договора об оказании услуги, если им обнаружены существенные недостатки оказанной услуги, а также потребовать полного возмещения убытков, причиненных ему в связи с недостатками оказанной услуги. Согласно абзацу 5 п. 1 ст. 35 Закона РФ ""О защите прав потребителей"" в случае полной или частичной утраты (повреждения) материала (вещи), принятого от потребителя, исполнитель обязан в трехдневный срок..."
e43iAjG2IkUx,https://sudact.ru/regular/doc/e43iAjG2IkUx/,sudact.ru,Решение № 2-12288/2019 2-3071/2020 2-3071/2020... :: СудАкт.ру,"В соответствии с п. 1 ст. 35 Федерального закона от 07.02.1992 N 2300-1 «О защите прав потребителей» в случае полной или частичной утраты (повреждения) материала (вещи), принятого от потребителя, исполнитель обязан в трехдневный срок заменить его однородным материалом (вещью) аналогичного качества и по желанию потребителя изготовить изделие из однородного материала (вещи) в разумный срок, а при отсутствии однородного. материала (вещи) аналогичного качества - возместить потребителю двукратную цену..."
D1fAmwQXk3d,https://sudact.ru/regular/doc/D1fAmwQXk3d/,sudact.ru,Решение № 2-1422/1910 2-1422/2019 2-1422/2019... :: СудАкт.ру,"Также суд находит возможным согласиться с доводами истца об утрате ответчиком рубашки, сданной на химическую чистку по квитанции- договору серия АВ №008359, с учетом того, что ответчиком указанное обстоятельство не оспорено. В соответствии со статьей 13 Закона о защите прав потребителей за нарушение прав потребителей исполнитель несет ответственность, предусмотренную законом или договором. Пунктом 28 Постановления Пленума Верховного Суда РФ от 28 июня 2012 г..."
j10Le5fy4ebd,https://sudact.ru/regular/doc/j10Le5fy4ebd/,sudact.ru,Решение № 2-966/2018 от 12 ноября 2018 г. по делу... :: СудАкт.ру,"Однако учитывая, что исполнитель предупредил в соответствии со ст. 35 Закона «О защите прав потребителя» заказчика о возможных последствиях установки данной детали, следовательно риск возникновения негативных последствий несет сам потребитель. В соответствии с п. 3 ст. 35 Закона РФ «О защите прав потребителей» исполнитель освобождается от ответственности за полную или частичную утрату (повреждение) материала (вещи), принятого им от потребителя..."
lofHMAbow961,https://sudact.ru/regular/doc/lofHMAbow961/,sudact.ru,Определение № 33-1003/2017 от 27 марта 2017 г. по... :: СудАкт.ру,"В соответствии с пунктом 1 статьи 35 Закона Российской Федерации «О защите прав потребителей» в случае полной или частичной утраты (повреждения) материала (вещи), принятого от потребителя, исполнитель обязан в трехдневный срок заменить его однородным материалом (вещью) аналогичного качества и по желанию потребителя изготовить изделие из однородного материала (вещи) в разумный срок, а при отсутствии однородного материала (вещи) аналогичного качества - возместить потребителю."
t4XCCvkBMnU1,https://sudact.ru/regular/doc/t4XCCvkBMnU1/,sudact.ru,Решение № 2-202/2023 2-202/2023(2-5435/2022...) :: СудАкт.ру,"Абзацем пятым пункта 1 статьи 35 Закона о защите прав потребителей установлена обязанность исполнителя возместить двукратную стоимость утраченного или поврежденного материала (вещи), а также понесенные потребителем расходы. Суд в соответствии с пунктом 3 статьи 35 Закона вправе освободить исполнителя от ответственности за полную либо частичную утрату (повреждение) принятого от потребителя материала (вещи) только в случаях..."
f2vYzeWwzilv,https://sudact.ru/regular/doc/f2vYzeWwzilv/,sudact.ru,Решение № 2-2038/2017 от 23 августа 2017 г. по делу... :: СудАкт.ру,"Согласно пункту 1 статьи 18 Закона Российской Федерации «О защите прав потребителей» потребитель в случае обнаружения в товаре недостатков, если они не были оговорены продавцом, по своему выбору вправе отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за товар суммы. При этом потребитель вправе потребовать также полного возмещения убытков, причиненных ему вследствие продажи товара ненадлежащего качества."
