docid,source_url,status,raw_act_path,raw_text_sha256,note
2TGeURZDGtHr,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_2TGeURZDGtHr.txt,303c62b3b09af008f48c7bf94df6e000f66dc8339ede0175f69f3d30366eded4,"art29_okna,art29_remont"
3EKlRihBcpmt,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_3EKlRihBcpmt.txt,0944c791a85f2c5b8c4dce0b458f9a5672e619246667ff2b3bff18a78ec79158,art28_delay
44gsbu4dGBNQ,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_44gsbu4dGBNQ.txt,1c2219ec6fe18eb4bb390b487abb3cd5fa820e15774d13ce74e575410a6e5afa,art29_remont
4R6JU5dS08gV,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_4R6JU5dS08gV.txt,6c22a3e01bd36af466eb0e194fbe80685976800b2d95d31b5b452cc2f9fb9c23,art29_remont
51kGOAmFj6gC,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_51kGOAmFj6gC.txt,10054c340fee77d84a5ed65ccde1afb516f5b94249acde492c24fc9a643966dc,art28_delay
6gu2AQWh1zl5,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_6gu2AQWh1zl5.txt,97f4fffbd7888b8f11ed1991c49dcdb452941ef1c2da89c54dd947435176ac95,art29_okna
AOvMR0MbCMU5,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_AOvMR0MbCMU5.txt,14d3005e001c0882354e84b0ac7d914980230eaefa32f95339e23ef695859022,art29_remont
DcaXct4mB3UK,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_DcaXct4mB3UK.txt,dacfd96e310d939fb6d7b8124d62c4b7250d12f850a8b5d440f0e45c33ccd5b0,art28_delay
EaGNj81Zabr,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_EaGNj81Zabr.txt,9ab88c2d9e2bd0815fd48f65866cb706597186ce8764c10bbc6a8ba8029b5983,art29_mebel
FJA5dldIi5ZP,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_FJA5dldIi5ZP.txt,e6dbc9d6f17c4712e2778ed91b5c3cd91e52330ee1c4c0bb3e9ab5cfec898704,art29_mebel
G3ujoKf5CdJO,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_G3ujoKf5CdJO.txt,4a64eb11680281b20a5bb26f17786ba964e2ca9bff4bb998dd0004591277419d,art29_mebel
G4TM4cp6aPgO,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_G4TM4cp6aPgO.txt,8d983546822775b3620b22aa77fcbaeb78e44006a1671661f389239c187980c4,art29_mebel
HMQHNmxf731a,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_HMQHNmxf731a.txt,093b3f32349400f7827a05e6bb1aeaa50eb3c7fec608bdb23f1780cfb0adf9f3,art29_mebel
IAhdCZSdrurT,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_IAhdCZSdrurT.txt,e3f083e8f8d51ae2ec17d91c41498867cda1c7c4703cd4d32bb67c1a08aeda08,art29_mebel
IFokpJdrgvYN,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_IFokpJdrgvYN.txt,427aad7eb051ba4353830b67ac573f8dbe7fcba3cd6a69c24837efe63ab23ec5,"art10_12_info,art29_mebel,art29_okna"
IG3OO15URBn,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_IG3OO15URBn.txt,7abdbfbe04a275ea0844d51445e29c498692b9c3e6e6e673ad164ea236869210,art29_remont
KHjybr1tjlQ4,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_KHjybr1tjlQ4.txt,f196ed34c65e34b214278d954e40cb450567d7c161f9dd6ee900ce22e57af3e6,art28_delay
NNz8EqpCgLgK,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_NNz8EqpCgLgK.txt,ff49f6425f32fc6d74024862cf8b55074cdd63e99bd0f8e3fce4be9c19b53569,art29_mebel
NXlFVcueusNG,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_NXlFVcueusNG.txt,3552e3d49b937f98a70644fd6aa74a7db9950cd8ae85c7c90c392ab6e59ca55e,art29_mebel
OWEMw275FKQa,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_OWEMw275FKQa.txt,02f33d69f8ea3138c2b11343d8d7f4b588c2b1b35c1a87ba509872e5c4bcbac2,art29_okna
PI6Ya0MGHsUx,,fetched,D:\YandexDisk\Legal-projects\zpp-consult\data\raw_acts\act_PI6Ya0MGHsUx.txt,534e1096220b63f1ff346a56fc9b991b8f03702e78ba9b59d9fce958d6125530,art29_mebel
