docid,url,domain,title,passage
ZPPMKmYhEXYQ,https://sudact.ru/regular/doc/ZPPMKmYhEXYQ/,sudact.ru,Решение № 2-944/2017 от 15 августа 2017 г. по делу... :: СудАкт.ру,"Статья 23.1 ч. 1 ч. 2 ч. 3 ч. 4 ч. 5 Закона «О защите прав потребителей» предусматривает, что договор купли-продажи, предусматривающий обязанность потребителя предварительно оплатить товар, должен содержать условие о сроке передачи товара потребителю. В случае, если продавец, получивший сумму предварительной оплаты в определенном договором купли-продажи размере, не исполнил обязанность по передаче товара потребителю в установленный таким договором срок, потребитель по своему выбору вправе потребовать"
3upYOEUsOC6X,https://sudact.ru/regular/doc/3upYOEUsOC6X/,sudact.ru,Решение № 2-1/2024 2-1/2024~М-8177/2023... :: СудАкт.ру,"Пунктом 3 статьи 23.1 Закона РФ «О защите прав потребителей» установлено, что в случае нарушения установленного договором купли-продажи срока передачи предварительно оплаченного товара потребителю продавец уплачивает ему за каждый день просрочки неустойку (пени) в размере половины процента суммы предварительной оплаты товара."
Sc6rzP15X355,https://sudact.ru/regular/doc/Sc6rzP15X355/,sudact.ru,Решение № 2-12108/2019 2-2256/2020 2-2256/2020... :: СудАкт.ру,"Согласно части 2 статьи 23.1 Закона РФ ""О защите прав потребителей"" в случае, если продавец, получивший сумму предварительной оплаты в определенном договором купли-продажи размере, не исполнил обязанность по передаче товара потребителю в установленный таким договором срок, потребитель по своему выбору вправе потребовать: передачи оплаченного товара в установленный им новый срок; возврата суммы предварительной оплаты товара, не переданного продавцом."
g2mB62RIjp6Q,https://sudact.ru/regular/doc/g2mB62RIjp6Q/,sudact.ru,Решение № 2-2254/2024 2-2254/2024~М-1600/2024... :: СудАкт.ру,"В соответствии с частями 1-3, 5 статьи 23.1 Закона Российской Федерации «О защите прав потребителей» договор купли-продажи, предусматривающий обязанность потребителя предварительно оплатить товар, должен содержать условие о сроке передачи товара потребителю. В случае, если продавец, получивший сумму предварительной оплаты в определенном договором купли-продажи размере, не исполнил обязанность по передаче товара потребителю в установленный таким договором срок, потребитель по своему..."
uhug73HSdyYX,https://sudact.ru/regular/doc/uhug73HSdyYX/,sudact.ru,Решение № 2-168/2019 2-168/2019~М-146/2019... :: СудАкт.ру,"Согласно пункту 3 статьи 487 ГК РФ в случае, когда продавец, получивший сумму предварительной оплаты, не исполняет обязанность по передаче товара в установленный срок (статья 457 ГК РФ), покупатель вправе потребовать передачи оплаченного товара или возврата суммы предварительной оплаты за товар, не переданный продавцом. Аналогичные положения содержит статья 23.1 Закона Российской Федерации от 07.02.1992 № 2300-1 «О защите прав потребителей» (далее – Закон «О защите прав потребителей»)."
jxrhPThJ8fL4,https://sudact.ru/regular/doc/jxrhPThJ8fL4/,sudact.ru,Решение № 2-1086/2020 от 14 июля 2020 г. по делу... :: СудАкт.ру,"Кроме того, в силу ст. 23.1 Закона «О защите прав потребителей»: 1. Договор купли-продажи, предусматривающий обязанность потребителя предварительно оплатить товар, должен содержать условие о сроке передачи товара потребителю. 2. В случае, если продавец, получивший сумму предварительной оплаты в определенном договором купли-продажи размере, не исполнил обязанность по передаче товара потребителю в установленный таким договором срок, потребитель по своему выбору вправе потребовать"
Pp6bfruXoRrw,https://sudact.ru/regular/doc/Pp6bfruXoRrw/,sudact.ru,Решение № 2-620/2025 от 28 апреля 2025 г. по делу... :: СудАкт.ру,"Согласно статье 23.1 Закона о защите прав потребителей договор купли-продажи, предусматривающий обязанность потребителя предварительно оплатить товар, должен содержать условие о сроке передачи товара потребителю (пункт 1). В случае, если продавец, получивший сумму предварительной оплаты в определенном договором купли-продажи размере, не исполнил обязанность по передаче товара потребителю в установленный таким договором срок, потребитель по своему выбору вправе потребовать"
a9CAweL5gwWP,https://sudact.ru/regular/doc/a9CAweL5gwWP/,sudact.ru,Решение № 2-3632/2019 2-476/2020 2-476/2020... :: СудАкт.ру,"Согласно части 2 статьи 23.1Закона Российской Федерацииот 07.02.1992 № 2300-1 ""О защите прав потребителей"" в случае, если продавец, получивший сумму предварительной оплаты в определенном договором купли-продажи размере, не исполнил обязанность по передаче товара потребителю в установленный таким договором срок, потребитель по своему выбору вправе потребовать возврата суммы предварительной оплаты товара, не переданного продавцом."
A9DmPtvwhmrK,https://sudact.ru/regular/doc/A9DmPtvwhmrK/,sudact.ru,Решение № 2-383/2020 2-383/2020~М-184/2020... :: СудАкт.ру,"Положениями п. 2 ст. 23.1 «Закона о защите прав потребителей» установлено, что в случае, если продавец, получивший сумму предварительной оплаты в определённом договором купли-продаже размере, не исполнил обязанность по передаче товара потребителю в установленный таким договором срок, потребитель по своему выбору вправе потребовать: передачи оплаченного товара в установленный им новый срок; возврата суммы предварительной оплаты товара, не переданного продавцом."
fej8tAz2p8NP,https://sudact.ru/regular/doc/fej8tAz2p8NP/,sudact.ru,Решение № 2-1951/2020 2-1951/2020~М-1174/2020... :: СудАкт.ру,В силу части 3 статьи 23.1 Закона о защите прав потребителя в случае нарушения установленного договором купли-продажи срока передачи предварительно оплаченного товара потребителю продавец уплачивает ему за каждый день просрочки неустойку (пени) в размере половины процента суммы предварительной оплаты товара.
