docid,url,domain,title,passage
p103xklic1mg,https://sudact.ru/regular/doc/p103xklic1mg/,sudact.ru,Решение № 2-1922/2025 2-1922/2025~М-540/2025... :: СудАкт.ру,"Иск ФИО1 к ООО «Маркетплейс» о защите прав потребителя удовлетворить частично. Взыскать с ООО «Маркетплейс» (ИНН <***>) в пользу ФИО1 (паспорт №) убытки в виде разницы стоимости товара в размере 1607000 руб., неустойку за период с 15.12.2024 по 13.05.2025 в размере 170000 руб., компенсацию морального вреда в размере 5 000 руб., штраф за несоблюдение в добровольном порядке удовлетворения требований потребителя в размере 160000 руб."
Pp6bfruXoRrw,https://sudact.ru/regular/doc/Pp6bfruXoRrw/,sudact.ru,Решение № 2-620/2025 от 28 апреля 2025 г. по делу... :: СудАкт.ру,"ФИО3 обратился в суд с иском к обществу с ограниченной ответственностью «Маркетплейс» (далее по тексту также - ООО «Маркетплейс», общество, агрегатор) о защите прав потребителей. | Аналогичное определение продажи товаров дистанционным способом дано в пункте 1 статьи 26.1 Закона «О защите прав потребителей»."
wzkaHAf8E21E,https://sudact.ru/regular/doc/wzkaHAf8E21E/,sudact.ru,Решение № 2-1742/2025 2-1742/2025~М-810/2025... :: СудАкт.ру,"Истец полагает, что ООО ""Маркетплейс"" должно нести ответственность по Закону РФ ""О защите прав потребителей"" не только как владелец агрегатора информации о товарах, но и как продавец, поскольку ответчик разместил на площадке ""Мегамаркет"" недостоверную информацию о продавце товара из-за чего истец воспринимал ООО ""Маркетплейс"" как продавца ноутбуков."
FTrYrTTzEals,https://sudact.ru/regular/doc/FTrYrTTzEals/,sudact.ru,Решение № 2-5837/2023 2-5837/2023~М-4399/2023... :: СудАкт.ру,"Истец обратился в суд с иском к ООО «Маркетплейс» о защите прав потребителей, взыскании денежных средств, неустойки, штрафа, компенсации морального вреда указывая, что 11.06.2023 г. посредством сети «Интернет», т.е. дистанционным способом, на сайте СберМегаМаркет, принадлежащего ООО «МАРКЕТПЛЕЙС», истцом был заключен договор купли-продажи смартфона Apple iPhone 14 Pro Max 1024Gb Space Black (2sim) IMEL/MEID № стоимостью 167990."
lbZPxqLTQJro,https://sudact.ru/regular/doc/lbZPxqLTQJro/,sudact.ru,Решение № 2-2036/2025 2-2036/2025~М-1983/2025... :: СудАкт.ру,"Статья 26.1 Закона РФ «О защите прав потребителей» определяет, что договор розничной купли-продажи может быть заключен на основании ознакомления потребителя с предложенным продавцом описанием товара посредством каталогов, проспектов, буклетов, фотоснимков, средств связи (телевизионной, почтовой, радиосвязи и других) или иными исключающими возможность непосредственного ознакомления потребителя с товаром либо образцом товара при заключении такого договора (дистанционный способ продажи товара)..."
lxw63q3TtAZj,https://sudact.ru/regular/doc/lxw63q3TtAZj/,sudact.ru,Решение № 2-484/2025 2-484/2025(2-6866/2024...) :: СудАкт.ру,"при секретаре Богдановой Н.В., рассмотрев в открытом судебном заседании гражданское дело по иску ФИО4 к ООО «МАРКЕТПЛЕЙС», АО «ЦЕНТР ПРОГРАММ ЛОЯЛЬНОСТИ» о защите прав потребителя | Аналогичное определение продажи товаров дистанционным способом дано в пункте 1 статьи 26.1 Закона Российской Федерации от 7 февраля 1992 г. N 2300-1 «О защите прав потребителей» (далее - Закон о защите прав потребителей)."
4nJ71tJWGLLr,https://sudact.ru/regular/doc/4nJ71tJWGLLr/,sudact.ru,Решение № 2-1951/2025 2-1951/2025~М-236/2025... :: СудАкт.ру,"Статьей 15 Закона «О защите прав потребителей» предусмотрено, что моральный вред, причиненный потребителю вследствие нарушения изготовителем (исполнителем, продавцом, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) прав потребителя, предусмотренных законами и правовыми актами Российской Федерации, регулирующими отношения в области защиты прав потребителей, подлежит компенсации причинителем вреда при наличии его вины."
ByA2BTi7BoHa,https://sudact.ru/regular/doc/ByA2BTi7BoHa/,sudact.ru,Решение № 2-286/2025 2-286/2025~М-49/2025... :: СудАкт.ру,"ФИО1 обратилась в суд с иском к ООО «НР-ЦЕНТР», ООО «Маркетплейс» о защите прав потребителя, в котором просит с учетом последующего уточнения требований взыскать солидарно с ответчиков убытки в виде разницы стоимости товара в размере 954945 руб., компенсацию морального вреда - 15000 руб., штраф в размере 50 %; с ответчика ООО «Маркетплейс» просит взыскать неустойку в размере 763956 руб."
x6ed9pqkhSoh,https://sudact.ru/regular/doc/x6ed9pqkhSoh/,sudact.ru,Решение № 2-9179/2024 2-953/2025 2-953/2025... :: СудАкт.ру,"ООО «Маркетплейс» потребителю предоставлена ненадлежащая информация о продавце, что является основанием для возложения на агрегатора ответственности за нарушение прав потребителя. | течение которого действует предложение о заключении договора (пункт 2 статьи 26.1 Закона о защите прав потребителей)."
fVJm3HMVkt5H,https://sudact.ru/regular/doc/fVJm3HMVkt5H/,sudact.ru,Решение № 2-547/2020 2-547/2020~М-520/2020... :: СудАкт.ру,"исковые требования ФИО1 к обществу с ограниченной ответственностью «СЕЛЛЕР» о защите прав потребителей, удовлетворить частично. Взыскать с общества с ограниченной ответственностью «СЕЛЛЕР» в пользу ФИО1 неустойку за нарушение срока передачи предварительно оплаченного товара потребителю в размере 287 (двухсот восьмидесяти семи) рублей, компенсацию морального вреда, причиненного потребителю, в размере 1 000 (одной тысяч) рублей, штраф в размере 643 (шестисот сорока трех) рублей 50 копеек."
FQi78fsHgSYx,https://sudact.ru/regular/doc/FQi78fsHgSYx/,sudact.ru,Решение № 2-1593/2025 2-1593/2025~М-204/2025... :: СудАкт.ру,"Закона о защите прав потребителей, предусмотрено, что договор розничной купли-продажи может быть заключен на основании ознакомления потребителя с предложенным продавцом описанием товара посредством каталогов, проспектов, буклетов, фотоснимков, средств связи (телевизионной, почтовой, радиосвязи и других) или иными исключающими возможность непосредственного ознакомления потребителя с товаром либо образцом товара при заключении такого договора (дистанционный способ продажи товара) способами."
nfLIiVfnIsbj,https://sudact.ru/regular/doc/nfLIiVfnIsbj/,sudact.ru,Решение № 2-1233/2023 2-1233/2023~М-443/2023... :: СудАкт.ру,"Маркетплейс не является уполномоченным лицом продавца в смысле законодательства о защит прав потребителей. Маркетплейс не несет ответственность за возможность выполнения заказа продавцом и не гарантирует выполнение заказа со стороны продавца. На основании вышеизложенного, суд полагает неустановленным факт причинения действиями ООО «Маркетплейс» ФИО4 убытков в размере 209 947 рублей, и правовых оснований для удовлетворения требований в данной части не имеется."
7ng73tMHgy5O,https://sudact.ru/regular/doc/7ng73tMHgy5O/,sudact.ru,Решение № 2-6586/2025 2-6586/2025~М-4926/2025... :: СудАкт.ру,"ФИО2 обратился в суд с исковым заявлением к ООО «Маркетплейс» о защите прав потребителей, указав, что после ознакомления с предложенным описанием товара, размещенным в информационно-телекоммуникационной сети «Интернет» посредством торговой площадки (агрегатор) «Мегамаркет» (ООО «Маркетплейс»), была акцептована оферта ООО «Амзито» о розничной купли-продаже товара"
xwrG3d38fUVg,https://sudact.ru/regular/doc/xwrG3d38fUVg/,sudact.ru,Решение № 2-335/2024 2-335/2024(2-6536/2023...) :: СудАкт.ру,"Ленинский районный суд города Новосибирска в составе судьи Ветошкиной Л.В., при секретаре Елисеевой М.И., рассмотрев в открытом судебном заседании гражданское дело по исковому заявлению ФИО2 ФИО1 к ООО «Маркетплейс» о защите прав потребителей, УСТАНОВИЛ: Истец обратился с вышеуказанным иском, в котором, с учетом уточнений просил обязать ООО «Маркетплейс» восстановить ФИО2 ФИО1 в участии программы лояльности СберМегаМаркет. Обязать ООО «Маркетплейс» начислить ФИО2 ФИО1 бонусные рубли в размере..."
8fKRm13Es4b8,https://sudact.ru/regular/doc/8fKRm13Es4b8/,sudact.ru,Решение № 2-122/2025 2-122/2025~М-36/2025... :: СудАкт.ру,"Также в нарушение требований ч.1.1 ст. 9, ч.2 ст. 26.1 Закона о защите прав потребителей, п.п.19,20 постановления Правительства РФ от 31.12.2020 г. №2463, ответчиком при дистанционной реализации товара не предоставлена информация о его контактных данных, а именно: номер телефона и адрес электронной почты, по которым потребитель мог бы обратиться к продавцу для реализации. своих прав по предъявлению претензий либо получения дополнительной информации о товаре, продавце и изготовителе."
Sgq21BEqhrWO,https://sudact.ru/regular/doc/Sgq21BEqhrWO/,sudact.ru,Решение № 2-4623/2023 2-4623/2023~М-3113/2023... :: СудАкт.ру,"председательствующего судьи Мещерякова К.Н., при секретаре Юскиной К.А., рассмотрев в открытом судебном заседании гражданское дело по иску ФИО1 к ООО «Яндекс» о защите прав потребителей, установил: ФИО1 обратилсчя в суд с иском, с учетом уточненных исковых требований, к ООО «Яндекс» о признании действий по одностороннему расторжению договоров купли-продажи, заключенных ДД.ММ.ГГГГ, противоречащими действующему законодательству и нарушающими права потребителя..."
nUaFwGkUmRHj,https://sudact.ru/regular/doc/nUaFwGkUmRHj/,sudact.ru,Решение № 2-11604/2023 2-11604/2023~М0-9020/2023... :: СудАкт.ру,"Так, размер штрафа составит 1000 руб. (2000/2). Предусмотренный ст. 13 Закона РФ «О защите прав потребителей» штраф, имеет гражданско-правовую природу и по своей сути является мерой ответственности за ненадлежащее исполнение обязательства, то есть является формой предусмотренной законом неустойки. Исходя из изложенного, принимая во внимание положения ст. 333 ГК РФ, применение указанной статьи возможно и при определении размера штрафа, предусмотренного Законом РФ «О защите прав потребителей»."
