docid,url,domain,title,passage
dZLatipIdmJQ,https://sudact.ru/regular/doc/dZLatipIdmJQ/,sudact.ru,Решение № 2-901/2021 от 24 июня 2021 г. по делу... :: СудАкт.ру,"В соответствии с ст. 30 Закона «О защите прав потребителей» недостатки работы (услуги) должны быть устранены исполнителем в разумный срок, назначенный потребителем. Назначенный потребителем срок устранения недостатков товара указывается в договоре или в ином подписываемом сторонами документе либо в заявлении, направленном потребителем исполнителю. За нарушение предусмотренных настоящей статьей сроков устранения недостатков выполненной работы (оказанной услуги) исполнитель уплачивает..."
xqYAVqrmG6oO,https://sudact.ru/regular/doc/xqYAVqrmG6oO/,sudact.ru,Решение № 2-2973/2020 2-2973/2020~М-1674/2020... :: СудАкт.ру,"Согласно части 5 статьи 28 Закона РФ «О защите прав потребителей» в случае нарушения установленных сроков выполнения работы (оказания услуги) или назначенных потребителем на основании пункта 1 настоящей статьи новых сроков исполнитель уплачивает потребителю за каждый день (час, если срок определен в часах) просрочки неустойку (пеню) в размере трех процентов цены выполнения работы (оказания услуги), а если цена выполнения работы (оказания."
bZcjnQhwIsW,https://sudact.ru/regular/doc/bZcjnQhwIsW/,sudact.ru,Решение № 2-2023/2020 2-2023/2020~М-1665/2020... :: СудАкт.ру,"При этом, в соответствии с пунктом 5 статьи 28 Закона о защите прав потребителей в случае нарушения установленных сроков выполнения работы исполнитель уплачивает потребителю за каждый день просрочки неустойку (пеню) в размере трех процентов цены выполнения работы. Сумма взысканной потребителем неустойки (пени) не может превышать цену отдельного вида выполнения работы или общую цену заказа, если цена выполнения отдельного вида работы не определена договором о выполнении работы."
TMFNEDT5jaxw,https://sudact.ru/regular/doc/TMFNEDT5jaxw/,sudact.ru,Решение № 2-1202/2020 2-215/2021 2-215/2021... :: СудАкт.ру,"В договоре о выполнении работ (оказании услуг) может предусматриваться срок выполнения работы (оказания услуги), если указанными правилами он не предусмотрен, а также срок меньшей продолжительности, чем срок, установленный указанными правилами. | С учетом положений абзац 4 пункта 5 статьи 28 Закона о защите прав потребителей, истцом уменьшена неустойка до суммы 43 800 руб. Суд находит данный расчет соответствующим вышеприведенным правовым нормам."
ejYcqIsTl36v,https://sudact.ru/regular/doc/ejYcqIsTl36v/,sudact.ru,Решение № 2-2249/2019 2-504/2020 от 14 апреля 2020... :: СудАкт.ру,"Статьей 28 Закона РФ ""О защите прав потребителей"" предусмотрено, что в случае нарушения установленных сроков выполнения работы (оказания услуги) или назначенных потребителем на основании пункта 1 настоящей статьи новых сроков исполнитель уплачивает потребителю за каждый день (час, если срок определен в часах) просрочки неустойку (пеню) в размере трех процентов цены выполнения работы (оказания услуги), а если цена выполнения работы (оказания услуги)."
51kGOAmFj6gC,https://sudact.ru/regular/doc/51kGOAmFj6gC/,sudact.ru,Решение № 2-923/2020 2-923/2020~М-354/2020... :: СудАкт.ру,"В соответствии с частью 5 статьи 28 Закона Российской Федерации «О защите прав потребителей», в случае нарушения установленных сроков выполнения работы (оказания услуги) или назначенных потребителем на основании пункта 1 настоящей статьи новых сроков исполнитель уплачивает потребителю за каждый день (час, если срок определен в часах) просрочки неустойку (пеню) в размере трех процентов цены выполнения работы (оказания услуги), а если цена."
hMcw9OheUtdC,https://sudact.ru/regular/doc/hMcw9OheUtdC/,sudact.ru,Решение № 2-155/2020 2-155/2020~М-118/2020... :: СудАкт.ру,"В соответствии со ст.28 ФЗ «О защите прав потребителей» если выполнения работы (оказания услуги) стало очевидным, что она не будет выполнена в срок, потребитель по своему выбору вправе, в том числе, поручить выполнение работы (оказание услуги) третьим лицам за разумную цену или выполнить ее своими силами и потребовать от исполнителя возмещения понесенных расходов или отказаться от исполнения договора оказания услуги. В силу статьи 4 Закона РФ «О защите прав потребителей» продавец (исполнитель) обязан..."
3EKlRihBcpmt,https://sudact.ru/regular/doc/3EKlRihBcpmt/,sudact.ru,Решение № 2-2224/2020 2-2224/2020~М-2054/2020... :: СудАкт.ру,"В соответствии с пунктом 3 статьи 31 Закона о защите прав потребителей за нарушение предусмотренных настоящей статьей сроков удовлетворения отдельных требований потребителя исполнитель уплачивает потребителю за каждый день просрочки неустойку (пеню), размер и порядок исчисления которой определяются в соответствии с пунктом 5 статьи 28 настоящего Закона. Вместе с тем, истцом заявлены требования о взыскании неустойки за нарушения срока удовлетворения требования потребителя."
QqSw46fUvPr,https://sudact.ru/regular/doc/QqSw46fUvPr/,sudact.ru,Решение № 2-215/2020 2-215/2020~М-174/2020... :: СудАкт.ру,"Согласно, п. 5 ст. 28 Закона Российской Федерации ""О защите прав потребителей"", согласно которому в случае нарушения установленных сроков выполнения работы (оказания услуги) или назначенных потребителем на основании пункта 1 настоящей статьи новых сроков исполнитель уплачивает потребителю за каждый день (час, если срок определен в часах) просрочки неустойку (пеню) в размере трех процентов цены выполнения работы (оказания услуги), а если цена."
DcaXct4mB3UK,https://sudact.ru/regular/doc/DcaXct4mB3UK/,sudact.ru,Решение № 2-243/2020 2-243/2020~М-1743/2019... :: СудАкт.ру,"Согласно пункту 5 статьи 28 Закона РФ ""О защите прав потребителей"" в случае нарушения установленных сроков выполнения работы (оказания услуги) или назначенных потребителем на основании пункта 1 настоящей статьи новых сроков исполнитель уплачивает потребителю за каждый день (час, если срок определен в часах) просрочки неустойку (пеню) в размере трех процентов цены выполнения работы (оказания услуги), а если цена выполнения работы (оказания."
