docid,url,domain,title,passage
dZLatipIdmJQ,https://sudact.ru/regular/doc/dZLatipIdmJQ/,sudact.ru,Решение № 2-901/2021 от 24 июня 2021 г. по делу... :: СудАкт.ру,"Статья 28 Закона «О защите прав потребителей» применению не подлежит, так как нарушения сроков по договору не было, просил применить ст.333 ГК РФ к размеру неустойки и штрафа в случае удовлетворения иска. | Руководствуясь статьями 194-199 Гражданского процессуального кодекса Российской Федерации, суд. РЕШИЛ: Исковые требования ФИО2 к Обществу с ограниченной ответственностью «Практика-Мебель» о защите прав потребителя удовлетворить частично."
NNz8EqpCgLgK,https://sudact.ru/regular/doc/NNz8EqpCgLgK/,sudact.ru,Решение № 2-1665/2020 2-1665/2020~М-1101/2020... :: СудАкт.ру,"ФИО1 обратилась в суд с иском к ИП ФИО2 о защите прав потребителей, расторжении договора на изготовление мебели по индивидуальному заказу, взыскании денежных средств, неустойки, штрафа, компенсации морального вреда, указав в обоснование иска, что она заключила с ИП ФИО2 договор на изготовление мебели по индивидуальному проекту от 07.07.2019."
IAhdCZSdrurT,https://sudact.ru/regular/doc/IAhdCZSdrurT/,sudact.ru,Решение № 2-14232/2019 2-2207/2020 2-2207/2020... :: СудАкт.ру,"Согласно ст. 31 Закона РФ «О защите прав потребителей» требования потребителя об уменьшении цены за выполненную работу (оказанную услугу), а также о возврате уплаченной за работу (услугу) денежной суммы и возмещении убытков, причиненных в связи с отказом от исполнения договора, предусмотренные пунктом 1 статьи 28 и пунктами 1 и 4 статьи 29 настоящего Закона, подлежат удовлетворению в десятидневный срок со дня."
tHGO8gaGWwxe,https://sudact.ru/regular/doc/tHGO8gaGWwxe/,sudact.ru,Решение № 2-11398/2019 2-277/2020 от 8 января 2020... :: СудАкт.ру,"В силу положений пункта 1 статьи 29 Закона о защите прав потребителя потребитель вправе отказаться от исполнения договора о выполнении работы (оказании услуги) и потребовать полного возмещения убытков, если в установленный указанным договором срок недостатки выполненной работы (оказанной услуги) не устранены исполнителем."
G3ujoKf5CdJO,https://sudact.ru/regular/doc/G3ujoKf5CdJO/,sudact.ru,Решение № 02-4225/2025 02-4225/2025~М-2741/2025... :: СудАкт.ру,"Представитель ответчика ООО «Мебель на заказ» в судебное заседание не явился, извещался судом надлежащим образом о дате, времени и месте рассмотрения дела, сведений о причинах неявки суду не представил, мнение по иску не выразил. | В силу указанной нормы права, учитывая, что истец был освобожден от уплаты государственной пошлины в соответствии с положениями Закона «О защите прав потребителей», с ООО «Мебель на заказ» в доход бюджета адрес подлежит взысканию государственная пошлина в размере сумма."
PI6Ya0MGHsUx,https://sudact.ru/regular/doc/PI6Ya0MGHsUx/,sudact.ru,Решение № 2-6661/2020 2-6661/2020~М-6222/2020... :: СудАкт.ру,"Согласно п.1 ст.29 Закона РФ от 07.02.1992 №2300-1 «О защите прав потребителей», потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе по своему выбору потребовать | изготовить и передать истице прихожую; 19.06.2019 года стороны заключили договор № 1906/19в на изготовление мебели по индивидуальному эскизу, согласно которому ответчик в течение 75–ти рабочих дней обязался изготовить и передать истице мебель для ванной. Общая стоимость заказа составила 444 370 рублей."
tWUT3r5luHoq,https://sudact.ru/regular/doc/tWUT3r5luHoq/,sudact.ru,Решение № 2-25/2020 2-25/2020(2-3884/2019...) :: СудАкт.ру,"МОУ «Агентство по защите прав потребителей» обратилось в суд в интересах ФИО1 с исковыми требованиями к ИП ФИО2 о защите прав потребителей, свои требования обосновывало тем, что 13.01.2019 года ФИО1 в магазине «Квадратный метр» (ИП ФИО2) приобрел ламинат Classic Touch Wide 34037 Дуб Линфорд в количестве 144 штуки общей стоимостью 50339 рублей 60 копеек, а также подложку."
FJA5dldIi5ZP,https://sudact.ru/regular/doc/FJA5dldIi5ZP/,sudact.ru,Решение № 2-335/2020 2-335/2020~М-154/2020... :: СудАкт.ру,"07.02.1992 г. № 2300-1 «О защите прав потребителей», другими федеральными законами и принимаемыми в соответствии с ними иными нормативными правовыми актами РФ. На основании пунктов 1, 2, 5 статьи 4 Закона РФ от 07 февраля 1992 года N 2300-1 «О защите прав потребителей» (далее по тексту - Закон) продавец (исполнитель) обязан передать потребителю товар (выполнить работу, оказать услугу), качество которого соответствует договору."
HMQHNmxf731a,https://sudact.ru/regular/doc/HMQHNmxf731a/,sudact.ru,Решение № 2-1450/2021 2-1450/2021~М-4222/2020... :: СудАкт.ру,"ФИО1 обратился в суд с иском к ООО «Швейное королевство» о защите прав потребителя, указывая, что 29 мая 2020 и 11.06.2020 между истцом и ответчиком были заключены договоры купли-продажи оверлок Janome ML85 стоимостью 23 149 рублей и швейную (распошивальную) машинку Janome Cover Pro 7 Plus стоимостью 37 041 рубль. Указанные товары были заказаны и приобретены истцом через интернет-магазин ответчика, оплачен безналичным путем."
ygH0ZmEWXtK,https://sudact.ru/regular/doc/ygH0ZmEWXtK/,sudact.ru,Решение № 2-84/2021 2-84/2021~М-3/2021 М-3/2021 от... :: СудАкт.ру,"В соответствии с пунктом 6 статьи 13 Закона о защите прав потребителей при удовлетворении судом требований потребителя, установленных законом, суд взыскивает с изготовителя (исполнителя, продавца, уполномоченной организации или уполномоченного индивидуального предпринимателя, импортера) за несоблюдение в добровольном порядке удовлетворения требований потребителя штраф в размере пятьдесят процентов от суммы, присужденной судом в пользу потребителя."
d365WK1SnXL8,https://sudact.ru/regular/doc/d365WK1SnXL8/,sudact.ru,Решение № 2-844/2020 2-844/2020~М-310/2020... :: СудАкт.ру,"Согласно п. 1 ст. 29 Закона РФ ""О защите прав потребителей"" потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе по своему выбору потребовать: безвозмездного устранения недостатков выполненной работы (оказанной услуги); соответствующего уменьшения цены выполненной работы (оказанной услуги); безвозмездного изготовления другой вещи из однородного материала такого же качества или повторного выполнения работы, при этом потребитель обязан возвратить ранее переданную."
bZcjnQhwIsW,https://sudact.ru/regular/doc/bZcjnQhwIsW/,sudact.ru,Решение № 2-2023/2020 2-2023/2020~М-1665/2020... :: СудАкт.ру,В силу ст. 29 Закона о защите прав потребителей потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе по своему выбору потребовать: безвозмездного устранения недостатков выполненной работы (оказанной услуги); соответствующего уменьшения цены выполненной работы (оказанной услуги); безвозмездного изготовления другой вещи из однородного материала такого же качества или повторного выполнения работы.
QlJychgKjegT,https://sudact.ru/regular/doc/QlJychgKjegT/,sudact.ru,Решение № 2-1875/2019 2-33/2020 от 29 июля 2020... :: СудАкт.ру,"Судебные и нормативные акты РФ. Решение № 2-1875/2019 2-33/2020 от 29 июля 2020 г. по делу № 2-334/2019 Вынесен: Ейский городской суд (Краснодарский край). | гражданин, осуществляющий предпринимательскую деятельность без образования юридического лица в нарушение требований, установленных пунктом первым данной статьи, не вправе ссылаться в отношении заключенных им при этом сделок на то, что он не является предпринимателем. К таким сделкам суд применяет законодательство о защите прав потребителей."
h9EcvY10CpWN,https://sudact.ru/regular/doc/h9EcvY10CpWN/,sudact.ru,Решение № 2-2451/2025 2-2451/2025~М-1995/2025... :: СудАкт.ру,"Истец считает, что его права нарушены действиями ответчиков, поскольку заказанная и оплаченная в полном объёме истцом мебель и комплексная услуга по доставке, сборке и монтажу кухонного гарнитура не была оказана своевременно. | В соответствии с абзацем 2 п. 1 ст. 29 Закона о защите прав потребителей потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе по своему выбору потребовать: безвозмездного устранения недостатков выполненной работы (оказанной услуги)."
zJyif1zBXuHu,https://sudact.ru/regular/doc/zJyif1zBXuHu/,sudact.ru,Решение № 2-319/2020 2-319/2020~М-60/2020... :: СудАкт.ру,"8 ст. 29 Закона Российской Федерации ""О защите прав потребителей"" потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе потребовать полного возмещения убытков, причиненных ему в связи с недостатками выполненной работы (оказанной услуги). Убытки возмещаются в сроки, установленные для удовлетворения соответствующих требований потребителя."
NXlFVcueusNG,https://sudact.ru/regular/doc/NXlFVcueusNG/,sudact.ru,Решение № 2-14/2020 2-14/2020(2-2023/2019...) :: СудАкт.ру,"При удовлетворении судом требований потребителя в связи с нарушением его прав, установленных Законом о защите прав потребителей, которые не были удовлетворены в добровольном порядке изготовителем (исполнителем, продавцом, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером), суд взыскивает с ответчика в пользу потребителя штраф независимо от того, заявлялось ли такое требование суду (пункт 6 статьи 13 Закона о защите прав потребителей)."
G4TM4cp6aPgO,https://sudact.ru/regular/doc/G4TM4cp6aPgO/,sudact.ru,Решение № 2-1376/2017 2-1376/2017~М-1759/2017... :: СудАкт.ру,"Статьей 29 данного закона предусмотрено, что потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе по своему выбору потребовать: безвозмездного устранения недостатков выполненной работы (оказанной услуги). | В силу статьи 30 Закона Российской Федерации ""О защите прав потребителей"" недостатки работы (услуги) должны быть устранены исполнителем в разумный срок, назначенный потребителем."
Uy8lx0YDsSrb,https://sudact.ru/regular/doc/Uy8lx0YDsSrb/,sudact.ru,Решение № 2-687/2020 2-687/2020~М-34/2020... :: СудАкт.ру,"силу абзаца 8 части 1 статьи 29 Закона РФ ""О защите прав потребителей"" потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе потребовать полного возмещения убытков, причиненных ему в связи с недостатками выполненной работы (оказанной услуги). В силу ст. 98 ГПК РФ, стороне, в пользу которой состоялось решение суда, суд присуждает возместить с другой стороны все понесенные по делу судебные расходы."
VecjISqulAda,https://sudact.ru/regular/doc/VecjISqulAda/,sudact.ru,Решение № 2-12186/2023 2-12186/2023~М0-9655/2023... :: СудАкт.ру,"14, пункт 5 статьи 23.1, пункт 6 статьи 28 Закона о защите прав потребителей, статья 1098 ГК РФ). Исключение составляют случаи продажи товара (выполнения работы, оказания услуги) ненадлежащего качества, когда распределение бремени доказывания зависит от того, был ли установлен на товар (работу, услугу) гарантийный срок, а также от времени обнаружения недостатков (пункт 6 статьи 18, пункты 5 и 6 статьи 19, пункты 4, 5 и 6 статьи 29 Закона)."
