docid,url,domain,title,passage
tWUT3r5luHoq,https://sudact.ru/regular/doc/tWUT3r5luHoq/,sudact.ru,Решение № 2-25/2020 2-25/2020(2-3884/2019...) :: СудАкт.ру,"при ведении протокола судебного заседания помощником судьи Кретовой К.Ю., рассмотрев в открытом судебном заседании гражданское дело по иску МОУ «Агентство по защите прав потребителей» в интересах ФИО1 к ИП ФИО2 о взыскании денежных средств, неустойки, компенсации морального вреда, штрафа | Согласно ст. 29 Закона РФ от 7 февраля 1992 г. N 2300-I «О защите прав потребителей», потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе по своему выбору потребовать"
ypdiIjtZacHr,https://sudact.ru/regular/doc/ypdiIjtZacHr/,sudact.ru,Решение № 2-816/2020 2-816/2020~М-149/2020... :: СудАкт.ру,"Как разъяснено в п. 45 Постановления Пленума Верховного Суда Российской Федерации №10, Пленума Высшего Арбитражного Суда Российской Федерации №22 от 29.04.2010 г. «О некоторых вопросах, возникающих в судебной практике при разрешении споров, связанных с защитой права собственности и других вещных прав», применяя ст. 304 ГК РФ, в силу которой собственник может требовать устранения всяких нарушений его права, хотя бы."
wAK9HEDeFtbb,https://sudact.ru/regular/doc/wAK9HEDeFtbb/,sudact.ru,Решение № 2-1224/2020 2-1224/2020~М-157/2020... :: СудАкт.ру,"импортере) (пункт 4 статьи ГЗ, пункт 5 статьи 14, пункт 5 статьи 23.1. п. 6 ст. 28 Закона о защите прав потребителей, статья 1098 ГК РФГ. Ответчиком не представлено суду доказательств отсутствия своей вины в повреждении имущества истца при оказании услуги по шиномонтажу. Согласно п. 5 ст. 18 Закона отсутствие у потребителя кассового или товарного чека либо иного документа, удостоверяющего факт и условия покупки товара, не является основанием для отказа в удовлетворении его требований."
THSfVA8YBEVu,https://sudact.ru/regular/doc/THSfVA8YBEVu/,sudact.ru,Решение № 2-6256/2019 2-98/2020 2-98/2020... :: СудАкт.ру,"Согласно ст. 12 Закона РФ «О защите прав потребителей». 1. Если потребителю не предоставлена возможность незамедлительно получить при заключении договора информацию о товаре (работе, услуге), он вправе потребовать от продавца (исполнителя) возмещения убытков, причиненных необоснованным уклонением от заключения договора, а если договор заключен, в разумный срок отказаться от его исполнения и потребовать возврата уплаченной за товар суммы и возмещения других убытков."
VnTwgt4w6NgC,https://sudact.ru/regular/doc/VnTwgt4w6NgC/,sudact.ru,Решение № 2-1510/2022 2-42/2023 2-42/2023... :: СудАкт.ру,"Решение. Именем Российской Федерации. 29 июня 2023 года Железногорский городской суд Красноярского края в составе: председательствующего судьи Щербакова Я.А., при секретаре Долидович С.Н., рассмотрев в открытом судебном заседании гражданского дела по иску ФИО1 к ФИО2 о защите прав потребителей"
Uy8lx0YDsSrb,https://sudact.ru/regular/doc/Uy8lx0YDsSrb/,sudact.ru,Решение № 2-687/2020 2-687/2020~М-34/2020... :: СудАкт.ру,"силу абзаца 8 части 1 статьи 29 Закона РФ ""О защите прав потребителей"" потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе потребовать полного возмещения убытков, причиненных ему в связи с недостатками выполненной работы (оказанной услуги). В силу ст. 98 ГПК РФ, стороне, в пользу которой состоялось решение суда, суд присуждает возместить с другой стороны все понесенные по делу судебные расходы."
6gu2AQWh1zl5,https://sudact.ru/regular/doc/6gu2AQWh1zl5/,sudact.ru,Решение № 2-1753/2020 2-1753/2020~М-960/2020... :: СудАкт.ру,"Статьей 31 Закона РФ ""О защите прав потребителей"" установлены сроки удовлетворения требований потребителя, в том числе, о возврате уплаченной за работу (услугу) денежной суммы, предусмотренных пунктом 1 статьи 28 и пунктами 1 и 4 статьи 29 Закона, а именно требований, заявленных в связи с нарушением исполнителем сроков выполнения работ (оказания услуг), а также при обнаружении недостатков выполненной работы (оказанной услуги)."
uBSNUUmLfvNx,https://sudact.ru/regular/doc/uBSNUUmLfvNx/,sudact.ru,Решение № 2-4077/2020 2-4077/2020~М-3863/2020... :: СудАкт.ру,"В силу пунктов 1, 3 статьи 31 Закона Российской Федерации ""О защите прав потребителей"" требования потребителя об уменьшении цены за выполненную работу (оказанную услугу), о возврате уплаченной за работу (услугу) денежной суммы и возмещении убытков, причиненных в связи с отказом от исполнения договора, предусмотренные пунктом 1 статьи 28 и пунктами 1 и 4 статьи 29 настоящего Закона, подлежат удовлетворению в десятидневный."
dZLatipIdmJQ,https://sudact.ru/regular/doc/dZLatipIdmJQ/,sudact.ru,Решение № 2-901/2021 от 24 июня 2021 г. по делу... :: СудАкт.ру,"Статья 28 Закона «О защите прав потребителей» применению не подлежит, так как нарушения сроков по договору не было, просил применить ст.333 ГК РФ к размеру неустойки и штрафа в случае удовлетворения иска. Суд, выслушав стороны, исследовав материалы дела, приходит к следующим выводам. Правоотношения сторон на основании спорного договора подлежат регулированию общими нормами гражданского законодательства об обязательствах и специальными нормами главы 37 Гражданского кодекса Российской Федерации."
bZcjnQhwIsW,https://sudact.ru/regular/doc/bZcjnQhwIsW/,sudact.ru,Решение № 2-2023/2020 2-2023/2020~М-1665/2020... :: СудАкт.ру,"Положениями пунктов 1 и 3 статьи 31 Закона о защите прав потребителей определено, что требования потребителя о возврате уплаченной за работу денежной суммы и возмещении убытков, причиненных в связи с отказом от исполнения договора, предусмотренные пунктом 1 статьи 28 и пунктами 1 и 4 статьи 29 настоящего Закона, подлежат удовлетворению в десятидневный срок со дня предъявления соответствующего требования."
hMcw9OheUtdC,https://sudact.ru/regular/doc/hMcw9OheUtdC/,sudact.ru,Решение № 2-155/2020 2-155/2020~М-118/2020... :: СудАкт.ру,"Согласно статье 29 Закона Российской Федерации ""О защите прав потребителей"" предусмотрено право потребителя в случае оказания ему услуги ненадлежащего качества требовать возврата полной стоимости путевки. Истцом в суде предоставлен расчет исковых требований (по состоянию на 17.03.2020), согласно которому: цена туристского продукта составила 178100 рублей, агентское вознаграждение составило 14191,74 рублей, стоимость услуг по авиаперевозке составило: 48325 рублей."
VecjISqulAda,https://sudact.ru/regular/doc/VecjISqulAda/,sudact.ru,Решение № 2-12186/2023 2-12186/2023~М0-9655/2023... :: СудАкт.ру,"14, пункт 5 статьи 23.1, пункт 6 статьи 28 Закона о защите прав потребителей, статья 1098 ГК РФ). Исключение составляют случаи продажи товара (выполнения работы, оказания услуги) ненадлежащего качества, когда распределение бремени доказывания зависит от того, был ли установлен на товар (работу, услугу) гарантийный срок, а также от времени обнаружения недостатков (пункт 6 статьи 18, пункты 5 и 6 статьи 19, пункты 4, 5 и 6 статьи 29 Закона)."
IFokpJdrgvYN,https://sudact.ru/regular/doc/IFokpJdrgvYN/,sudact.ru,Решение № 2-2336/2020 2-2336/2020~М-971/2020 М-971/2020 от 29...,"В соответствии со ст. 12 Закона РФ «О защите прав потребителей» продавец (исполнитель), не предоставивший покупателю полной и достоверной информации о товаре (работе, услуге), несет ответственность, предусмотренную пунктами 1 - 4 статьи 18 или пунктом 1 статьи 29 настоящего Закона, за недостатки товара (работы, услуги), возникшие после его передачи потребителю вследствие отсутствия у него такой информации."
2TGeURZDGtHr,https://sudact.ru/regular/doc/2TGeURZDGtHr/,sudact.ru,Решение № 2-63/2020 2-63/2020~М-35/2020 М-35/2020... :: СудАкт.ру,"Пункт 6 статьи 13 Закона «О защите прав потребителей» предусматривает, что при удовлетворении судом требований потребителя, установленных законом, суд взыскивает с изготовителя (исполнителя) за несоблюдение в добровольном порядке удовлетворения требований потребителя штраф в размере пятидесяти процентов от суммы, присужденной судом в пользу потребителя."
QlJychgKjegT,https://sudact.ru/regular/doc/QlJychgKjegT/,sudact.ru,Решение № 2-1875/2019 2-33/2020 от 29 июля 2020... :: СудАкт.ру,"потребителю Законом РФ «О защите прав потребителей» и изданными в соответствии с ним иными правовыми актами. Согласно п. 1 ст. 454 ГК РФ по договору купли-продажи одна сторона (продавец) обязуется передать вещь (товар) в собственность другой стороне (покупателю), а покупатель обязуется принять этот товар и уплатить за него определенную денежную сумму (цену)."
OWEMw275FKQa,https://sudact.ru/regular/doc/OWEMw275FKQa/,sudact.ru,Решение № 2-22/2020 2-22/2020(2-375/2019...) :: СудАкт.ру,"Статьей 4 Закона РФ «О защите прав потребителей» предусмотрено, что продавец (исполнитель) обязан передать потребителю товар (выполнить работу, оказать услугу), качество которого соответствует договору. | Поскольку факт нарушения прав потребителя судом установлен и его требования до разрешения спора судом в добровольном порядке ответчиком не удовлетворены, взыскание штрафа по правилам статьи 13 Закона Российской Федерации «О защите прав потребителей» является обязательным."
dYBTtWFaWtQa,https://sudact.ru/regular/doc/dYBTtWFaWtQa/,sudact.ru,Решение № 2-20/2020 2-559/2019 от 12 ноября 2020... :: СудАкт.ру,"Установив факт нарушения прав потребителя со стороны ООО «Энергоресурс» в результате нарушения условий договора б/н от 01.06.2015 по содержанию и обслуживанию общего имущества многоквартирного дома, расположенного по адресу: <адрес>, суд, руководствуясь ст. 15 Закона РФ от 07.02.1992 N 2300-1 ""О защите прав потребителей"", с учетом требований разумности и справедливости, считает требования истца о взыскании компенсации."
