docid,status,dispute_type_code,claim_type_codes,result_type,index_policy,main_site_fit,validation_status,verification_status,note
tWUT3r5luHoq,structured,work_service_defect_art29,refund_price;damages;penalty;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,
ypdiIjtZacHr,structured,contract_validity_non_zpp,hold,hold,hold,False,ok,ok,
wAK9HEDeFtbb,structured,contract_validity_non_zpp,hold,hold,hold,False,ok,ok,
THSfVA8YBEVu,structured,work_service_defect_art29,refund_price;damages;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
VnTwgt4w6NgC,structured,goods_defect_art18,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
Uy8lx0YDsSrb,structured,work_service_defect_art29,refund_price;damages;expenses,satisfied,index,True,ok,ok,
6gu2AQWh1zl5,structured,service_refusal_art32,refund_price;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
uBSNUUmLfvNx,structured,contract_validity_non_zpp,hold,hold,hold,False,ok,ok,
dZLatipIdmJQ,structured,work_service_defect_art29,refund_price;penalty;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,
bZcjnQhwIsW,structured,work_service_defect_art29,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
hMcw9OheUtdC,structured,work_service_defect_art29,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
VecjISqulAda,structured,work_service_defect_art29,refund_price;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
IFokpJdrgvYN,structured,info_violation_art10_12,damages;penalty;moral_damage;consumer_fine,hold,hold,False,ok,ok,
2TGeURZDGtHr,structured,work_service_defect_art29,damages;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
QlJychgKjegT,structured,goods_defect_art18,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
OWEMw275FKQa,structured,work_service_defect_art29,refund_price;penalty;moral_damage;consumer_fine;expenses;damages,satisfied,index,True,ok,ok,
dYBTtWFaWtQa,structured,work_service_defect_art29,damages;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
NNz8EqpCgLgK,structured,work_service_delay_art28,refund_price;penalty;moral_damage;consumer_fine;expenses,satisfied,index,True,ok,ok,
IAhdCZSdrurT,structured,work_service_defect_art29,penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
tHGO8gaGWwxe,structured,work_service_defect_art29,refund_price;damages;penalty;moral_damage;consumer_fine,satisfied,index,True,ok,ok,
G3ujoKf5CdJO,structured,prepaid_goods_delay_art23_1,refund_price;penalty;consumer_fine;expenses,satisfied,index,True,ok,ok,
PI6Ya0MGHsUx,structured,work_service_defect_art29,refund_price;moral_damage;consumer_fine;expenses,satisfied,index,True,ok,ok,
FJA5dldIi5ZP,structured,goods_defect_art18,refund_price;price_difference;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
HMQHNmxf731a,structured,distance_sale_return_art26_1,refund_price;penalty;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,
ygH0ZmEWXtK,structured,contract_validity_non_zpp,hold,hold,hold,False,ok,ok,
d365WK1SnXL8,structured,work_service_defect_art29,refund_price;penalty;moral_damage;consumer_fine;expenses,rejected,index,True,ok,ok,
h9EcvY10CpWN,structured,work_service_delay_art28,penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
zJyif1zBXuHu,structured,contract_validity_non_zpp,hold,hold,hold,False,ok,ok,
NXlFVcueusNG,structured,goods_defect_art18,repair_or_defect_cure;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
G4TM4cp6aPgO,structured,work_service_defect_art29,refund_price;penalty;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,
hrW58hVf9XV0,structured,goods_defect_art18,refund_price;penalty;moral_damage;consumer_fine;expenses,satisfied,index,True,ok,ok,
qZ12yS80Ff1v,structured,goods_defect_art18,replacement;penalty;consumer_fine;expenses,satisfied,index,True,ok,ok,
EaGNj81Zabr,structured,work_service_defect_art29,damages;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
44gsbu4dGBNQ,structured,service_refusal_art32,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
fiXHEle8cxrH,structured,work_service_defect_art29,refund_price;penalty;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,
zhmojGgAwwrx,structured,contract_validity_non_zpp,hold,hold,hold,False,ok,ok,
hYbUa7Urh3W5,structured,service_refusal_art32,refund_price;moral_damage;consumer_fine;expenses,satisfied,index,True,ok,ok,
IG3OO15URBn,structured,work_service_defect_art29,damages;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
tGHVr2Rx78ry,structured,work_service_defect_art29,damages;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
fnpHqXEsViQX,structured,work_service_defect_art29,refund_price;damages;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
SHBRS4KIyAdE,structured,work_service_defect_art29,damages;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
e5iaAholP0WW,structured,work_service_defect_art29,repair_or_defect_cure,rejected,index,True,ok,ok,
cYIZ3teqSbQR,structured,work_service_defect_art29,repair_or_defect_cure;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
uNnAL7AINnmK,structured,contract_validity_non_zpp,hold,hold,hold,False,ok,ok,
4R6JU5dS08gV,structured,goods_defect_art18,refund_price;penalty;moral_damage;consumer_fine,rejected,index,True,ok,ok,
nUaFwGkUmRHj,structured,goods_defect_art18,repair_or_defect_cure;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
UeHswTmOk86R,structured,goods_defect_art18,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
zfvhZ7h0qIxW,structured,contract_validity_non_zpp,hold,hold,hold,False,ok,ok,
c6j46it4lXNa,structured,work_service_defect_art29,refund_price;penalty;damages;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
AOvMR0MbCMU5,structured,goods_defect_art18,refund_price;penalty;moral_damage;consumer_fine;expenses,rejected,index,True,ok,ok,
xqYAVqrmG6oO,structured,contract_validity_non_zpp,hold,hold,hold,False,ok,ok,
TMFNEDT5jaxw,structured,work_service_delay_art28,refund_price;penalty;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,
ejYcqIsTl36v,structured,work_service_defect_art29,refund_price;penalty;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,
51kGOAmFj6gC,structured,work_service_defect_art29,repair_or_defect_cure;price_reduction;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
3EKlRihBcpmt,structured,service_refusal_art32,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
QqSw46fUvPr,structured,work_service_delay_art28,refund_price;penalty;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,
DcaXct4mB3UK,structured,work_service_delay_art28,refund_price;penalty;damages;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,
dDvjXR3GKwxb,structured,work_service_delay_art28,refund_price;penalty;damages,satisfied,index,True,ok,ok,
xFynck7nm1gW,structured,contract_validity_non_zpp,hold,hold,hold,False,ok,ok,
xaPFd5m1V86i,structured,contract_validity_non_zpp,hold,hold,hold,False,ok,ok,
SKRzPTr0mYmR,structured,service_refusal_art32,penalty;moral_damage,partially_satisfied,index,True,ok,ok,
lbZPxqLTQJro,structured,prepaid_goods_delay_art23_1,refund_price;penalty;consumer_fine;expenses,satisfied,index,True,ok,ok,
KHjybr1tjlQ4,structured,service_refusal_art32,insurance_premium_refund;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
oakTTFmKQb5J,structured,service_refusal_art32,refund_price;penalty;moral_damage;consumer_fine;expenses,satisfied,index,True,ok,ok,
TRJAjBS3H41P,structured,contract_validity_non_zpp,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
tGOym2Rdgd5r,structured,work_service_defect_art29,refund_price;moral_damage;expenses,partially_satisfied,index,True,ok,ok,
z78ERmxhRjxq,structured,contract_validity_non_zpp,hold,hold,hold,False,ok,ok,
ZPPMKmYhEXYQ,structured,prepaid_goods_delay_art23_1,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
3upYOEUsOC6X,structured,prepaid_goods_delay_art23_1,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
Sc6rzP15X355,structured,prepaid_goods_delay_art23_1,refund_price;penalty;consumer_fine,satisfied,index,True,ok,ok,
